bund_nr,lfd_nr,baumkennzahl,zwiesel,bart,alter,alter_methode,d_mess,bhd_hoehe,hoehe,kransatz,azi,hori,kraft,schi
130027,19,2,0,vbe,45,5,NA,NA,NA,NA,5,989,NA,NA
130027,20,1,0,rbu,60,5,265,130,282,15,17,1105,2,2
130027,21,1,0,gki,105,1,473,130,NA,NA,42,1292,2,1
130027,22,1,0,gfi,60,5,431,130,250,75,61,1044,1,2
130027,23,1,0,rbu,25,5,113,130,NA,NA,115,746,4,2
130027,24,1,0,gki,105,1,435,130,323,211,101,888,2,1
130027,25,2,0,gki,105,1,NA,NA,NA,NA,95,1125,NA,NA
130027,26,1,0,gki,105,1,360,130,NA,NA,106,1713,3,1
130027,27,1,0,rbu,60,5,305,130,NA,NA,118,1191,2,2
130027,28,2,0,gki,105,1,NA,NA,NA,NA,131,1572,NA,NA
130027,29,1,0,gki,105,1,478,130,NA,NA,131,792,1,1
130027,30,2,0,gki,105,1,NA,NA,NA,NA,158,547,NA,NA
130027,31,1,0,rbu,60,5,176,130,185,26,181,667,2,2
130027,32,1,0,gki,105,1,491,130,306,225,158,1535,1,1
130027,33,1,0,gki,105,1,358,130,NA,NA,182,1605,2,1
130027,34,1,0,gki,105,1,357,130,NA,NA,183,1284,3,1
130027,35,2,0,gki,105,1,NA,NA,NA,NA,205,1317,NA,NA
130027,36,2,0,gfi,60,5,NA,NA,NA,NA,218,1148,NA,NA
130027,37,1,0,rbu,60,5,230,130,NA,NA,209,1024,2,2
130027,38,2,0,gfi,60,5,NA,NA,NA,NA,231,1063,NA,NA
130027,39,1,0,gki,105,1,348,130,NA,NA,232,1336,2,1
130027,40,2,0,gki,105,1,NA,NA,NA,NA,232,1594,NA,NA
130027,41,1,0,gki,105,1,431,130,317,227,200,615,1,1
130028,1,1,0,gki,97,1,214,130,207,164,274,281,4,1
130028,2,1,0,rbu,97,1,300,130,212,15,255,448,2,2
130028,3,1,0,gki,97,1,434,130,NA,NA,274,531,1,1
130028,4,1,0,gki,97,1,236,130,NA,NA,361,526,3,1
130028,5,1,0,sbi,40,5,173,130,NA,NA,310,487,2,2
130028,6,1,0,sbi,40,5,103,130,NA,NA,361,369,3,2
130028,7,1,0,sei,97,1,133,130,114,55,289,860,2,2
130028,8,1,0,gki,97,1,243,130,NA,NA,276,994,4,1
130028,9,1,0,gki,97,1,457,130,NA,NA,274,1688,2,1
130028,10,1,0,gki,97,1,393,130,NA,NA,294,1562,2,1
130028,11,1,0,gki,97,1,322,130,NA,NA,304,1516,3,1
130028,12,1,0,sbi,40,5,186,130,NA,NA,295,1210,2,2
130028,13,1,0,gki,97,1,313,130,NA,NA,315,710,2,1
130028,14,3,0,gki,97,1,NA,NA,NA,NA,320,1414,NA,NA
130028,15,1,0,gki,97,1,329,130,NA,NA,311,1592,2,1
130028,16,1,0,gki,97,1,355,130,NA,NA,333,1227,2,1
130028,17,1,0,gki,97,1,361,130,NA,NA,351,1348,2,1
130028,18,1,0,gki,97,1,438,130,NA,NA,359,1134,2,1
130028,19,1,0,sbi,40,5,179,130,NA,NA,359,928,2,2
130028,20,1,0,gki,97,1,346,130,NA,NA,354,642,2,1
