"";"plot_ID";"CCS_nr";"CCS_position";"CCS_dist";"CCS_RG_inv_status";"CCS_max_dist_cm"
"516";50129;4;"w";1000;2;-9
"517";50130;4;"w";1000;1;418
"518";50130;3;"s";1000;1;400
"519";50130;1;"n";1000;1;390
"520";50130;2;"o";1000;1;425
"521";50131;4;"w";1000;1;285
"522";50131;2;"o";1000;1;210
"523";50131;3;"s";1000;1;426
"524";50131;1;"n";1000;1;500
"525";50132;4;"w";1000;1;270
"526";50132;2;"o";1000;1;255
"527";50132;3;"s";1000;1;500
"528";50132;1;"n";1000;1;195
"529";50133;3;"s";1000;1;63
"530";50133;4;"w";1000;1;110
"531";50133;1;"n";1000;1;251
"532";50133;2;"o";1000;1;220
"533";50134;1;"n";1000;2;-9
"534";50134;3;"s";1000;2;-9
"535";50134;4;"w";1000;2;-9
"536";50134;2;"o";1000;1;289
"537";50135;4;"w";1000;1;295
"538";50135;1;"n";1000;1;490
"539";50135;3;"s";1000;1;480
"540";50135;2;"o";1000;1;360
"541";50136;2;"o";1000;1;220
"542";50136;3;"s";1000;1;85
"543";50136;1;"n";1000;1;50
"544";50136;4;"w";1000;1;80
"545";50137;1;"n";1000;2;-9
"546";50137;3;"s";1000;2;-9
"547";50137;2;"o";1000;1;495
"548";50137;4;"w";1000;2;-9
"549";50138;4;"w";1000;1;167
"550";50138;2;"o";1000;1;350
"551";50138;3;"s";1000;1;365
"552";50138;1;"n";1000;1;122
"553";50139;3;"s";1000;1;68
"554";50139;1;"n";1000;1;130
"555";50139;2;"o";1000;1;95
"556";50139;4;"w";500;1;168
"557";50140;2;"o";1000;2;-9
"558";50140;4;"w";1000;1;425
"559";50140;1;"n";1000;1;466
"560";50140;3;"s";1000;1;422
"561";50141;1;"n";1000;1;495
"562";50141;2;"o";1000;1;477
"563";50141;4;"w";1000;1;498
"564";50141;3;"s";1000;1;495
"565";50142;2;"o";500;1;300
"566";50142;3;"s";1000;1;125
"567";50142;1;"n";500;1;225
"568";50142;4;"w";1000;1;80
"569";50143;2;"o";1000;1;480
"570";50143;1;"n";1000;1;490
"571";50143;3;"s";1000;1;420
"572";50143;4;"w";1000;1;450
"573";50144;2;"o";1000;1;285
"574";50144;1;"n";1000;2;-9
"575";50144;3;"s";1000;2;-9
"576";50144;4;"w";1000;2;-9
"577";50145;2;"o";1000;2;-9
"578";50145;4;"w";1000;2;-9
"579";50145;1;"n";1000;2;-9
"580";50145;3;"s";1000;2;-9
"581";50146;1;"n";1000;1;307
"582";50146;4;"w";1000;1;155
"583";50146;3;"s";1000;1;195
"584";50146;2;"o";1000;1;288
