"plot_ID","inv","dw_sp","dw_type","decay","compartiment","B_t_ha","C_t_ha","N_t_ha","inv_year","stand_component","ST_LY_type","mean_d_cm","sd_d_cm","mean_l_m","sd_l_m","n_ha","n_dec","n_dw_TY"
140001,"HBI","all","all","2","sb",0.159428053106226,0.0797140265531133,0.0011521865397987,NA,"DW",NA,13.3333333333333,2.25092573548455,7.11666666666667,3.18648186353958,NA,NA,NA
140001,"HBI","all","all","2","stb",0.00510483978589664,0.00255241989294832,3.68926771326751e-05,NA,"DW",NA,13.3333333333333,2.25092573548455,7.11666666666667,3.18648186353958,NA,NA,NA
140001,"HBI","all","all","2","stw",0.07409318832247,0.037046594161235,9.89144064104974e-05,NA,"DW",NA,13.3333333333333,2.25092573548455,7.11666666666667,3.18648186353958,NA,NA,NA
140001,"HBI","all","all","2","sw",1.9394380908384,0.969719045419201,0.00258914985126927,NA,"DW",NA,13.3333333333333,2.25092573548455,7.11666666666667,3.18648186353958,NA,NA,NA
140001,"HBI","all","all","3","ag",0.0417720469860183,0.0208860234930091,0.000301886583567953,NA,"DW",NA,12,NA,0.6,NA,NA,NA,NA
140001,"HBI","all","all","4","ag",1.12005021210013,0.560025106050066,0.0072841453983125,NA,"DW",NA,13.875,4.85320218294802,4.3875,4.32317261147082,NA,NA,NA
140001,"HBI","all","all","5","ag",0.425232035533365,0.212616017766682,0.00267158766036227,NA,"DW",NA,17.6,5.7706152185014,1.5,1.4525839046334,NA,NA,NA
140001,"HBI","1","all","all","ag",0.507759423951618,0.253879711975809,0.00245755561192583,NA,"DW",NA,16.25,4.5,2.725,4.53238347892144,NA,NA,NA
140001,"HBI","2","all","all","ag",11.5713623832195,5.78568119160974,0.0440526268834881,NA,"DW",NA,14.05,4.44232039888117,5.64,3.96024985920944,NA,NA,NA
140001,"HBI","2","all","all","fwb",4.35313453837535,2.17656726918768,0.020028772011065,NA,"DW",NA,14.05,4.44232039888117,5.64,3.96024985920944,NA,NA,NA
140001,"HBI","2","all","all","sb",0.371691851288833,0.185845925644417,0.0026862170092644,NA,"DW",NA,14.05,4.44232039888117,5.64,3.96024985920944,NA,NA,NA
140001,"HBI","2","all","all","stb",0.0116871268745362,0.00584356343726812,8.44628659222735e-05,NA,"DW",NA,14.05,4.44232039888117,5.64,3.96024985920944,NA,NA,NA
140001,"HBI","2","all","all","stw",0.172186909408482,0.0860934547042411,0.000229869524060324,NA,"DW",NA,14.05,4.44232039888117,5.64,3.96024985920944,NA,NA,NA
140001,"HBI","2","all","all","sw",4.60416708961825,2.30208354480912,0.00614656306464036,NA,"DW",NA,14.05,4.44232039888117,5.64,3.96024985920944,NA,NA,NA
140001,"HBI","all","all","all","ag",12.0791218071711,6.03956090358555,0.0465101824954139,NA,"DW",NA,14.4166666666667,4.43225986785882,5.15416666666667,4.10693783807317,479.67011261845,5,5
140001,"HBI","all","all","all","fwb",4.35313453837535,2.17656726918768,0.020028772011065,NA,"DW",NA,14.4166666666667,4.43225986785882,5.15416666666667,4.10693783807317,479.67011261845,5,5
140001,"HBI","all","all","all","sb",0.371691851288833,0.185845925644417,0.0026862170092644,NA,"DW",NA,14.4166666666667,4.43225986785882,5.15416666666667,4.10693783807317,479.67011261845,5,5
140001,"HBI","all","all","all","stb",0.0116871268745362,0.00584356343726812,8.44628659222735e-05,NA,"DW",NA,14.4166666666667,4.43225986785882,5.15416666666667,4.10693783807317,479.67011261845,5,5
140001,"HBI","all","all","all","stw",0.172186909408482,0.0860934547042411,0.000229869524060324,NA,"DW",NA,14.4166666666667,4.43225986785882,5.15416666666667,4.10693783807317,479.67011261845,5,5
140001,"HBI","all","all","all","sw",4.60416708961825,2.30208354480912,0.00614656306464036,NA,"DW",NA,14.4166666666667,4.43225986785882,5.15416666666667,4.10693783807317,479.67011261845,5,5
140002,"HBI","2","1","2","ag",2.18204696090275,1.09102348045138,0.0157696533864442,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140002,"HBI","2","1","3","ag",4.51447530019264,2.25723765009631,0.0326261129944923,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140002,"HBI","2","1","4","ag",0.198178940177466,0.099089470088733,0.00143223920066255,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140002,"HBI","2","1","5","ag",0.0347535293511921,0.0173767646755961,0.000251163756621065,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140002,"HBI","2","2","2","ag",26.737022585529,13.3685112927645,0.065691417279269,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140002,"HBI","2","2","2","fwb",6.89006003180085,3.44503001590041,0.0317011662063158,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140002,"HBI","2","2","2","sb",1.23932871620257,0.619664358101286,0.00895662863199596,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140002,"HBI","2","2","2","stb",0.0326597535405083,0.0163298767702541,0.000236032038837254,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140002,"HBI","2","2","2","stw",0.588955073008263,0.294477536504132,0.000786255022466031,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140002,"HBI","2","2","2","sw",17.9860190109768,8.99300950548838,0.024011335379654,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140002,"HBI","2","4","4","ag",0.00318715293562152,0.00159357646781076,2.30335542657368e-05,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140002,"HBI","2","5","3","ag",5.30853097113982,2.6542654855699,0.0383647533284275,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140002,"HBI","2","5","4","ag",0.243706534542559,0.12185326727128,0.00176126712513908,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140002,"HBI","2","1","all","ag",6.92945473062405,3.46472736531202,0.05007916933822,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140002,"HBI","2","2","all","ag",26.737022585529,13.3685112927645,0.065691417279269,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140002,"HBI","2","2","all","fwb",6.89006003180085,3.44503001590041,0.0317011662063158,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140002,"HBI","2","2","all","sb",1.23932871620257,0.619664358101286,0.00895662863199596,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140002,"HBI","2","2","all","stb",0.0326597535405083,0.0163298767702541,0.000236032038837254,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140002,"HBI","2","2","all","stw",0.588955073008263,0.294477536504132,0.000786255022466031,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140002,"HBI","2","2","all","sw",17.9860190109768,8.99300950548838,0.024011335379654,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140002,"HBI","2","4","all","ag",0.00318715293562152,0.00159357646781076,2.30335542657368e-05,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140002,"HBI","2","5","all","ag",5.55223750568238,2.77611875284118,0.0401260204535665,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140002,"HBI","2","all","2","ag",28.9190695464317,14.4595347732159,0.0814610706657132,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140002,"HBI","2","all","2","fwb",6.89006003180085,3.44503001590041,0.0317011662063158,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140002,"HBI","2","all","2","sb",1.23932871620257,0.619664358101286,0.00895662863199596,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140002,"HBI","2","all","2","stb",0.0326597535405083,0.0163298767702541,0.000236032038837254,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
