"";"plot_ID";"LT_RMS_DBH";"LT_FSI_DBH_RMS";"LT_sd_DBH_cm";"LT_FSI_DBH_SD";"LT_sd_H_m";"LT_FSI_H_SD";"LT_n_SP";"LT_FSI_n_SP";"inv";"LT_n_bark_TY";"LT_FSI_bark_TY";"LT_Vm340_plot";"LT_FSI_V40";"LT_n_fruit_TY";"LT_FSI_fruit_TY";"DW_n_dec";"DW_FSI_n_dec";"DW_LY_mean_D_cm";"DW_FSI_LY_mean_D_cm";"DW_ST_mean_D_cm";"DW_FSI_ST_mean_D_cm";"RG_n_SP";"RG_FSI_n_SP";"FSI_sum";"FSI_total"
"18";50018;13,2316602940338;0,169274612006737;2,58279319417166;0,112051673649444;1,01205484063011;0,0857411538799451;3;0,5;"HBI";1;0,25;0;0;1;0,2;4;0,8;33,741935483871;0,702956989247312;11,5;0,185483870967742;5;0,555555555555556;3,00550829975118;0,273228027250107
"19";50019;35,7412876216153;0,457243645946546;4,62204584138931;0,200522431831103;0,782385807487515;0,066283623396837;1;0,166666666666667;"HBI";1;0,25;5,29281842093754;0,069062825442241;1;0,2;5;1;21,5555555555556;0,449074074074074;23,2777777777778;0,375448028673835;2;0,222222222222222;3,2343012960313;0,2940273905483
"20";50020;31,1965186804197;0,399101736157036;5,10743060545694;0,221580321909352;2,86013367647756;0,242310151413725;2;0,333333333333333;"HBI";1;0,25;0;0;2;0,4;4;0,8;23;0,479166666666667;22,0571428571429;0,355760368663594;5;0,555555555555556;3,48125257814371;0,316477507103973
"21";50021;35,3852841352635;0,452689240022717;5,5273672360641;0,239798815899666;1,1572610575678;0,0980430056086791;1;0,166666666666667;"HBI";1;0,25;3,19169406386272;0,0416465089989886;1;0,2;4;0,8;21;0,4375;17,8;0,287096774193548;1;0,111111111111111;2,97344101139027;0,270312819217297
"22";50022;33,8865136420428;0,433515244614031;8,80977613173096;0,382202555847282;3,49431699029929;0,296038078908868;2;0,333333333333333;"HBI";1;0,25;7,15076872201919;0,0933061089103394;2;0,4;4;0,8;27,3478260869565;0,569746376811594;31;0,5;5;0,555555555555556;4,05814169842545;0,368921972584132
"23";50023;21,3888610777827;0,273630903435469;8,02447391565637;0,348133073307858;5,0470036513879;0,427581489988103;5;0,833333333333333;"HBI";1;0,25;1,54256352843297;0,0201279898959509;4;0,8;5;1;14,6551724137931;0,305316091954023;15,3697478991597;0,247899159663866;3;0,333333333333333;4,5060220415786;0,409638367416237
"24";50024;78,1668328001077;1;12,8758863526784;0,558606325428374;2,7083072349251;0,229447435120516;2;0,333333333333333;"HBI";1;0,25;61,1069199043638;0,797347690216158;1;0,2;2;0,4;16;0,333333333333333;15;0,241935483870968;4;0,444444444444444;4,34400360130268;0,394909418300244
"25";50025;39,4772470399922;0,50503833436549;10,226444131839;0,443663156245305;1,84233062078406;0,156082009504576;3;0,5;"HBI";1;0,25;14,7789872737927;0,192842175402316;2;0,4;4;0,8;24,7777777777778;0,516203703703704;14,6;0,235483870967742;4;0,444444444444444;3,99931325018913;0,363573931835376
"26";50026;18,0434370655716;0,230832392962795;6,34600392784995;0,275314478412811;3,33865034391101;0,282850020963665;4;0,666666666666667;"HBI";1;0,25;1,79481550993512;0,0234194752975711;4;0,8;3;0,6;33,2857142857143;0,693452380952381;19,6666666666667;0,317204301075269;2;0,222222222222222;4,13973971633116;0,376339974211924
"27";50027;31,3894685251887;0,401570172421587;10,5077521369867;0,455867398094368;3,43287484165953;0,290832708103116;3;0,5;"HBI";1;0,25;5,89646310669746;0,0769394243062522;3;0,6;4;0,8;21;0,4375;17,3333333333333;0,279569892473118;3;0,333333333333333;4,09227959539844;0,372025417763495
"28";50028;27,5320893857685;0,352222143324842;11,4037157556084;0,494737805226508;4,80464825678073;0,407049172619105;4;0,666666666666667;"HBI";1;0,25;10,7967650882664;0,140880537235536;2;0,4;3;0,6;16,9166666666667;0,352430555555556;17,25;0,278225806451613;0;0;3,94221268707983;0,358382971552711
"29";50029;25,5822851620545;0,327278005845201;4,82028037885189;0,209122621636438;1,44952472405226;0,122803545250937;1;0,166666666666667;"HBI";1;0,25;0;0;1;0,2;3;0,6;18;0,375;20;0,32258064516129;2;0,222222222222222;2,57345148456053;0,233950134960049
"30";50030;52,9316057814928;0,677161960966901;19,7881538770251;0,858487534099496;4,55362387831888;0,385782420070484;1;0,166666666666667;"HBI";1;0,25;52,9022844474818;0,690290303902972;2;0,4;3;0,6;19,2;0,4;46;0,741935483870968;4;0,444444444444444;5,17032436957749;0,470029488143408
"31";50031;48,5230005146772;0,620762013458608;11,3949428966577;0,494357204282409;2,66539413510107;0,225811842909736;2;0,333333333333333;"HBI";1;0,25;46,2821774668906;0,603908483018864;1;0,2;2;0,4;24,3;0,50625;35;0,564516129032258;2;0,222222222222222;4,19893900603521;0,381721727821382
"32";50032;31,6294759601336;0,404640623485643;4,8448773565591;0,210189734762271;2,33436432512024;0,197767040655004;1;0,166666666666667;"HBI";1;0,25;0;0;1;0,2;4;0,8;26,9090909090909;0,560606060606061;21,0204081632653;0,339038841342989;2;0,222222222222222;3,12890896751863;0,284446269774421
"33";50033;25,829094138278;0,330435470045582;10,2654877635822;0,445357021744118;5,95335671162645;0,50436760284251;4;0,666666666666667;"HBI";1;0,25;4,05966710821476;0,0529721706943765;3;0,6;4;0,8;10;0,208333333333333;17,09375;0,27570564516129;4;0,444444444444444;4,13383791048788;0,375803446407989
