"plot_ID","LT_RMS_DBH","LT_FSI_DBH_RMS","LT_sd_DBH_cm","LT_FSI_DBH_SD","LT_sd_H_m","LT_FSI_H_SD","LT_n_SP","LT_FSI_n_SP","inv","LT_n_bark_TY","LT_FSI_bark_TY","LT_Vm340_plot","LT_FSI_V40","LT_n_fruit_TY","LT_FSI_fruit_TY","DW_n_dec","DW_FSI_n_dec","DW_LY_mean_D_cm","DW_FSI_LY_mean_D_cm","DW_ST_mean_D_cm","DW_FSI_ST_mean_D_cm","RG_n_SP","RG_FSI_n_SP","FSI_sum","FSI_total"
140048,41.7385758026126,0.844668696622769,9.52628001137694,0.483053779018839,2.78719730699758,0.171802438681019,1,0,"HBI",2,0,10.6377755392552,0.218989669404938,1,0,5,1,39.2222222222222,1,31,0.63265306122449,3,0.333333333333333,4.35116764495205,0.395560694995641
140049,25.9858884555063,0.409027045959809,5.66216762504411,0.23402253389172,3.10941692429887,0.203609164776999,1,0,"HBI",2,0,0,0,1,0,4,0.8,22.7857142857143,0.580938891137191,0,0,1,0.111111111111111,2.22759763576572,0.202508875978702
140050,18.2028227537573,0.193785829345997,5.31416010205096,0.211594421533726,3.55819216125044,0.247908364062033,3,0.4,"HBI",5,0.333333333333333,0,0,2,0.25,5,1,21.3333333333333,0.543909348441926,13.375,0.272959183673469,2,0.222222222222222,3.45349048039048,0.313953680035499
140051,41.4769624983406,0.837433762722468,6.54330045570058,0.290809082522364,2.04115471797883,0.0981595845196365,1,0,"HBI",2,0,30.4733611370959,0.627325821685573,1,0,3,0.6,25.6470588235294,0.653891018163639,0,0,5,0.555555555555556,3.10761926961368,0.282510842692153
140052,33.7004576453945,0.622373986832971,7.96747589529305,0.382593209779015,2.51925014324868,0.14535301850935,2,0.2,"HBI",4,0.222222222222222,13.1845759264003,0.271418203242976,1,0,5,1,21.9333333333333,0.559206798866856,0,0,3,0.333333333333333,3.40316743945339,0.309378858132126
140053,31.9403644443067,0.57369848845311,12.2433528813249,0.658161532690156,8.51515469841905,0.737216715329588,3,0.4,"HBI",6,0.444444444444444,8.95327093201376,0.184312390711697,3,0.5,5,1,23.1428571428571,0.590044516390125,13,0.26530612244898,3,0.333333333333333,5.3531842104681,0.486653110042555
140054,20.4826349621568,0.25683419257344,5.60655866737115,0.230438691967634,3.68751252401455,0.260673748713411,2,0.2,"HBI",3,0.111111111111111,0,0,1,0,4,0.8,20.7727272727273,0.5296162760752,0,0,3,0.333333333333333,2.3886740204408,0.217152183676436
140055,40.5290773533165,0.811219933924992,9.65946981686144,0.491637489786507,3.52157359603895,0.244293696887313,3,0.4,"HBI",4,0.222222222222222,43.8808085275649,0.903332065732387,3,0.5,4,0.8,20.7777777777778,0.529745042492918,0,0,2,0.222222222222222,4.90245045104634,0.445677313731485
140056,25.2079407917738,0.387512849880747,7.48921432052764,0.351770587776212,5.05346336375937,0.395508569089084,6,1,"HBI",10,0.888888888888889,3.71392746269733,0.0764550581321023,5,1,4,0.8,11.1111111111111,0.28328611898017,12,0.244897959183673,3,0.333333333333333,5.42832003193088,0.493483639266443
140057,32.6078943852381,0.592159074823329,10.1351528761715,0.522293933673814,4.02154175806141,0.293646217752887,2,0.2,"HBI",4,0.222222222222222,12.6541657612384,0.260499158533939,2,0.25,4,0.8,19.9302325581395,0.508136240859082,0,0,6,0.666666666666667,3.64895684786527,0.331723349805934
140058,22.1751578224935,0.303641028538308,6.69728143846291,0.300732726565128,3.98199385393777,0.289742391646128,2,0.2,"HBI",4,0.222222222222222,1.64366132882452,0.0338364773429094,1,0,5,1,23,0.586402266288952,0,0,1,0.111111111111111,2.93657711260365,0.266961555691241
140059,28.0057762444801,0.464887181513388,7.30266539788358,0.33974803101842,10.2479641092644,0.908264632178673,5,0.8,"HBI",7,0.555555555555556,0,0,3,0.5,3,0.6,19.2352941176471,0.49041826362273,14,0.285714285714286,5,0.555555555555556,4.94458794960305,0.449507995418459
140060,27.6550717686804,0.455188425144663,12.1608308029564,0.652843215345332,5.55298869861189,0.444817377896962,4,0.6,"HBI",6,0.444444444444444,18.6793306035126,0.384533441082099,3,0.5,5,1,14.6315789473684,0.373043089309676,12.6363636363636,0.257884972170686,7,0.777777777777778,5.11275496539386,0.464795905944897
140061,26.7879940619469,0.431209331603915,8.12851600320179,0.392971794710904,2.71401278805533,0.164578297680672,3,0.4,"HBI",6,0.444444444444444,2.23015322493687,0.0459100227908623,4,0.75,4,0.8,14.4864864864865,0.369343848097389,10,0.204081632653061,5,0.555555555555556,4.00253937198125,0.363867215634659
140062,23.5451315141652,0.341527745087301,5.44368418897203,0.219941886983746,2.81162069677051,0.174213303901917,1,0,"HBI",3,0.111111111111111,0,0,1,0,5,1,14.2,0.362039660056657,16,0.326530612244898,4,0.444444444444444,2.53536431938563,0.230487665398694
140063,31.4803357891455,0.560976364394481,8.08088725818679,0.389902255192106,8.07604858588098,0.693871968148942,2,0.2,"HBI",3,0.111111111111111,1.76630967907221,0.0363613211483356,2,0.25,3,0.6,23.6666666666667,0.603399433427762,0,0,5,0.555555555555556,3.44562245342274,0.313238404856612
140064,13.3973563320536,0.0608903253581633,3.06804307299218,0.0668384557325921,1.04674417528647,0,1,0,"HBI",2,0,0,0,1,0,2,0.4,16.8,0.428328611898017,0,0,1,0.111111111111111,0.956057392988772,0.0869143084535248
140065,11.1955782046155,0,2.0309390559929,0,1.09131053967769,0.00439920498061963,2,0.2,"HBI",3,0.111111111111111,0,0,2,0.25,0,0,0,0,0,0,4,0.444444444444444,0.565510316091731,0.0514100287356119
140066,32.230984124199,0.581735595663691,12.0778882110229,0.647497797076358,5.10529600611348,0.400625038011727,4,0.6,"HBI",6,0.444444444444444,19.2620181958024,0.39652867098059,2,0.25,5,1,17.875,0.455736543909348,21.75,0.443877551020408,2,0.222222222222222,5.22044564110657,0.474585967373324
140067,24.4843996777672,0.367503270671632,8.41381981586946,0.411358828162479,6.33520120332102,0.522030612443356,5,0.8,"HBI",7,0.555555555555556,1.8304692207441,0.0376821120193266,5,1,4,0.8,13.5263157894737,0.344863575369017,16.6666666666667,0.340136054421769,3,0.333333333333333,5.17913000864313,0.47083000078574
140068,22.1224408616001,0.302183137363584,5.76321761717451,0.240534923502676,2.49319825692123,0.142781402232102,1,0,"HBI",2,0,0,0,1,0,2,0.4,14.2857142857143,0.364225010117361,11.8,0.240816326530612,0,0,1.69054079974634,0.153685527249667
140089,27.5561138726909,0.452451737733488,4.95400741789412,0.188383587478102,1.2196545675733,0.017068214321269,1,0,"HBI",2,0,0,0,1,0,2,0.4,19.75,0.503541076487252,0,0,3,0.333333333333333,1.56144461602011,0.141949510547283
140102,27.861593769,0.460899805249849,5.45586078667296,0.220726634678352,1.17961160346405,0.0131155201862525,1,0,"HBI",2,0,0,0,1,0,3,0.6,12.8,0.326345609065156,12.5555555555556,0.256235827664399,6,0.666666666666667,1.87732339684401,0.170665763349455
140175,36.0639835444021,0.68773745792462,7.89911259098376,0.378187385855943,2.22479957030369,0.116287411638777,4,0.6,"HBI",5,0.333333333333333,17.5683179945735,0.361662091424601,3,0.5,5,1,27.4864864864865,0.700788607304188,0,0,9,1,4.67799628748146,0.425272389771042
140187,44.3994840939476,0.918256298201929,12.0344833545479,0.644700475370405,2.55513353584756,0.148895115819707,2,0.2,"HBI",3,0.111111111111111,33.0034028138971,0.679409360047409,2,0.25,1,0.2,14,0.356940509915014,0,0,5,0.555555555555556,3.50931287046558,0.319028442769598
140234,27.2197584485976,0.443149805375366,6.88965750860374,0.313130826695258,6.34025556249499,0.522529534945914,3,0.4,"HBI",6,0.444444444444444,0,0,2,0.25,5,1,18.7692307692308,0.478535628677272,0,0,2,0.222222222222222,3.85179024013825,0.350162749103478
140252,39.6397421032258,0.786625306493791,6.14163069753868,0.26492258906561,1.70528173098127,0.0650051161792406,1,0,"HBI",2,0,26.3023492032613,0.541461204491511,1,0,4,0.8,25.3157894736842,0.645445057402714,0,0,4,0.444444444444444,3.10345927363287,0.282132661239352
140254,20.3764950619526,0.253898886342363,7.1367840083358,0.329057439013744,3.84319588596754,0.27604146000552,6,1,"HBI",6,0.444444444444444,6.13364031255538,0.126267362884154,2,0.25,4,0.8,11.2,0.285552407932011,0,0,6,0.666666666666667,3.76526200062224,0.342296545511112
140315,35.3098074124188,0.666880665188988,14.4283552978302,0.798978832495579,6.65275596103569,0.553376864058017,3,0.4,"HBI",7,0.555555555555556,35.7563925045743,0.736082515070458,4,0.75,4,0.8,17.8,0.453824362606232,49,1,1,0.111111111111111,6.71469879497483,0.61042716317953
140316,21.779948860627,0.292711497550318,6.25722566121872,0.272372361447356,3.68012529371381,0.259944545405582,3,0.4,"HBI",5,0.333333333333333,0,0,2,0.25,3,0.6,9.6,0.244759206798867,10.25,0.209183673469388,2,0.222222222222222,2.86230461800484,0.260209510727713
