"";"plot_ID";"e_ID";"inv_year";"CCS_r_m";"inter_stat";"area_m2";"stand"
"281";50092;1;2012;5,64;"no intersections";0;"B"
"282";50092;0;2012;5,64;"0";99,887150028313;"A"
"283";50094;1;2012;17,84;"partly intersecting";8,5781589364633;"B"
"284";50094;0;2012;17,84;"0";990,825911930064;"A"
"285";50094;1;2012;12,62;"no intersections";0;"B"
"286";50094;0;2012;12,62;"0";500,115280136932;"A"
"287";50094;1;2012;5,64;"no intersections";0;"B"
"288";50094;0;2012;5,64;"0";99,8871500126552;"A"
"289";50101;1;2012;17,84;"partly intersecting";84,4552227080567;"B"
"290";50101;0;2012;17,84;"0";914,948848224944;"A"
"291";50101;1;2012;12,62;"partly intersecting";42,2625328342256;"B"
"292";50101;0;2012;12,62;"0";457,85274731298;"A"
"293";50101;1;2012;5,64;"partly intersecting";8,44102175148146;"B"
"294";50101;0;2012;5,64;"0";91,4461282609263;"A"
"295";50102;1;2012;17,84;"partly intersecting";191,53240803699;"warning"
"296";50102;2;2012;17,84;"partly intersecting";406,688782785088;"warning"
"297";50102;0;2012;17,84;"0";401,182880086824;"A"
"298";50102;1;2012;12,62;"partly intersecting";62,0472371213255;"warning"
"299";50102;2;2012;12,62;"partly intersecting";197,753567308187;"warning"
"300";50102;0;2012;12,62;"0";240,314475730993;"A"
"301";50102;1;2012;5,64;"no intersections";0;"warning"
"302";50102;2;2012;5,64;"partly intersecting";27,1985223218799;"warning"
"303";50102;0;2012;5,64;"0";72,6886276929872;"A"
"304";50104;1;2012;17,84;"partly intersecting";285,866250673076;"warning"
"305";50104;0;2012;17,84;"0";713,537820230471;"A"
"306";50104;1;2012;12,62;"partly intersecting";101,988563134917;"warning"
"307";50104;0;2012;12,62;"0";398,126717038685;"A"
"308";50104;1;2012;5,64;"no intersections";0;"warning"
"309";50104;0;2012;5,64;"0";99,8871500001987;"A"
"310";50106;1;2012;17,84;"no intersections";0;"no forest"
"311";50106;0;2012;17,84;"0";999,404070961755;"A"
"312";50106;1;2012;12,62;"no intersections";0;"no forest"
"313";50106;0;2012;12,62;"0";500,115280165337;"A"
"314";50106;1;2012;5,64;"no intersections";0;"no forest"
"315";50106;0;2012;5,64;"0";99,8871500126552;"A"
"316";50107;1;2012;17,84;"no intersections";0;"no forest"
"317";50107;0;2012;17,84;"0";999,404070884455;"A"
"318";50107;1;2012;12,62;"no intersections";0;"no forest"
"319";50107;0;2012;12,62;"0";500,115280182799;"A"
"320";50107;1;2012;5,64;"no intersections";0;"no forest"
"321";50107;0;2012;5,64;"0";99,8871500284877;"A"
"322";50109;1;2012;17,84;"partly intersecting";448,432718216325;"B"
"323";50109;0;2012;17,84;"0";550,971352694789;"A"
"324";50109;1;2012;12,62;"partly intersecting";265,066243851034;"B"
"325";50109;0;2012;12,62;"0";235,049036349403;"A"
"326";50109;1;2012;5,64;"partly intersecting";73,1688172105169;"B"
"327";50109;0;2012;5,64;"0";26,718332808523;"A"
"328";50110;1;2012;17,84;"partly intersecting";60,0170436911285;"warning"
"329";50110;2;2012;17,84;"no intersections";0;"B"
"330";50110;0;2012;17,84;"0";939,3870271903;"A"
"331";50110;1;2012;12,62;"no intersections";0;"warning"
"332";50110;2;2012;12,62;"no intersections";0;"B"
"333";50110;0;2012;12,62;"0";500,115280178143;"A"
"334";50110;1;2012;5,64;"no intersections";0;"warning"
"335";50110;2;2012;5,64;"no intersections";0;"B"
"336";50110;0;2012;5,64;"0";99,8871500086971;"A"
"337";50111;1;2012;17,84;"partly intersecting";3,24634187389165;"no forest"
"338";50111;0;2012;17,84;"0";996,157729045954;"A"
"339";50111;1;2012;12,62;"no intersections";0;"no forest"
"340";50111;0;2012;12,62;"0";500,115280196769;"A"
"341";50111;1;2012;5,64;"no intersections";0;"no forest"
"342";50111;0;2012;5,64;"0";99,887150024937;"A"
"343";50112;1;2012;17,84;"partly intersecting";990,273764401674;"A"
"344";50112;0;2012;17,84;"0";9,13030649374969;"B"
"345";50112;1;2012;12,62;"fully covering circle";500,115280175582;"A"
"346";50112;0;2012;12,62;"0";0;"B"
"347";50112;1;2012;5,64;"fully covering circle";99,8871500096866;"A"
"348";50112;0;2012;5,64;"0";0;"B"
"349";50114;1;2012;17,84;"partly intersecting";130,815706590074;"warning"
"350";50114;0;2012;17,84;"0";868,588364328723;"A"
"351";50114;1;2012;12,62;"partly intersecting";12,1895046508871;"warning"
"352";50114;0;2012;12,62;"0";487,925775515148;"A"
"353";50114;1;2012;5,64;"no intersections";0;"warning"
"354";50114;0;2012;5,64;"0";99,8871500205132;"A"
"355";50117;2;2012;17,84;"no intersections";0;"no forest"
"356";50117;1;2012;17,84;"no intersections";0;"B"
"357";50117;0;2012;17,84;"0";999,404070909135;"A"
"358";50117;2;2012;12,62;"no intersections";0;"no forest"
"359";50117;1;2012;12,62;"no intersections";0;"B"
"360";50117;0;2012;12,62;"0";500,115280166501;"A"
"361";50117;2;2012;5,64;"no intersections";0;"no forest"
"362";50117;1;2012;5,64;"no intersections";0;"B"
"363";50117;0;2012;5,64;"0";99,8871500183595;"A"
"364";50121;1;2012;17,84;"partly intersecting";340,743478097662;"warning"
"365";50121;0;2012;17,84;"0";658,660592795815;"A"
"366";50121;1;2012;12,62;"partly intersecting";138,853078520631;"warning"
"367";50121;0;2012;12,62;"0";361,262201658217;"A"
"368";50121;1;2012;5,64;"partly intersecting";5,24237958484809;"warning"
"369";50121;0;2012;5,64;"0";94,6447704436723;"A"
"370";50122;1;2012;17,84;"partly intersecting";330,811311515281;"warning"
"371";50122;2;2012;17,84;"partly intersecting";0,589680321048945;"no forest"
"372";50122;0;2012;17,84;"0";668,003079107963;"A"
"373";50122;1;2012;12,62;"partly intersecting";80,4594460036606;"warning"
"374";50122;2;2012;12,62;"no intersections";0;"no forest"
"375";50122;0;2012;12,62;"0";419,655834190489;"A"
"376";50122;1;2012;5,64;"fully covering circle";0;"warning"
"377";50122;2;2012;5,64;"no intersections";0;"no forest"
"378";50122;0;2012;5,64;"0";99,8871500155656;"A"
"379";50123;1;2012;17,84;"partly intersecting";402,084873780375;"warning"
"380";50123;0;2012;17,84;"0";597,31919713899;"A"
"381";50123;1;2012;12,62;"partly intersecting";181,279551555868;"warning"
"382";50123;0;2012;12,62;"0";318,835728608814;"A"
"383";50123;1;2012;5,64;"partly intersecting";20,2334022661671;"warning"
"384";50123;0;2012;5,64;"0";79,6537477262609;"A"
"385";50124;1;2012;17,84;"partly intersecting";164,227340167621;"warning"
"386";50124;0;2012;17,84;"0";835,176730748499;"A"
"387";50124;1;2012;12,62;"partly intersecting";28,2715567945415;"warning"
"388";50124;0;2012;12,62;"0";471,84372337535;"A"
"389";50124;1;2012;5,64;"no intersections";0;"warning"
"390";50124;0;2012;5,64;"0";99,8871500198147;"A"
"391";50131;1;2012;17,84;"partly intersecting";273,657080718953;"B"
"392";50131;0;2012;17,84;"0";725,746990199492;"A"
"393";50131;1;2012;12,62;"partly intersecting";104,035354787156;"B"
"394";50131;0;2012;12,62;"0";396,079925387399;"A"
"395";50131;1;2012;5,64;"no intersections";0;"B"
"396";50131;0;2012;5,64;"0";99,8871500247624;"A"
"397";50132;1;2012;17,84;"partly intersecting";390,494550604373;"B"
"398";50132;0;2012;17,84;"0";608,909520278685;"A"
"399";50132;1;2012;12,62;"partly intersecting";173,194190806709;"B"
"400";50132;0;2012;12,62;"0";326,921089348849;"A"
"401";50132;1;2012;5,64;"partly intersecting";17,0538244919735;"B"
"402";50132;0;2012;5,64;"0";82,8333255236503;"A"
"403";50133;1;2012;17,84;"no intersections";0;"no forest"
"404";50133;0;2012;17,84;"0";999,404070904013;"A"
"405";50133;1;2012;12,62;"no intersections";0;"no forest"
"406";50133;0;2012;12,62;"0";500,11528012692;"A"
"407";50133;1;2012;5,64;"no intersections";0;"no forest"
"408";50133;0;2012;5,64;"0";99,8871500377427;"A"
"409";50134;1;2012;17,84;"no intersections";0;"B"
"410";50134;0;2012;17,84;"0";999,404070918448;"A"
"411";50134;1;2012;12,62;"no intersections";0;"B"
"412";50134;0;2012;12,62;"0";500,115280171623;"A"
"413";50134;1;2012;5,64;"no intersections";0;"B"
"414";50134;0;2012;5,64;"0";99,8871500289533;"A"
"415";50141;1;2012;17,84;"partly intersecting";5,73450406029588;"no forest"
"416";50141;0;2012;17,84;"0";993,66956687998;"A"
