"";"plot_ID";"team";"date";"stand_spec";"stand_type";"structure";"inv_year";"inv";"CCS_r_m";"CCS_LT_inv_status";"CCS_LT_inv_status_old"
"129";50060;"Tilo Schindler; Karin Morgenstern";"2012-03-02";1;4;1;2012;"HBI";17,84;1;1
"130";50060;"Tilo Schindler; Karin Morgenstern";"2012-03-02";1;4;1;2012;"HBI";12,62;1;1
"131";50061;"Tilo Schindler; Karin Morgenstern";"2012-02-29";1;1;1;2012;"HBI";12,62;1;1
"132";50061;"Tilo Schindler; Karin Morgenstern";"2012-02-29";1;1;1;2012;"HBI";17,84;1;1
"133";50061;"Tilo Schindler; Karin Morgenstern";"2012-02-29";1;1;1;2012;"HBI";5,64;1;1
"134";50062;"Tilo Schindler; Karin Morgenstern";"2012-02-29";1;5;1;2012;"HBI";12,62;1;1
"135";50062;"Tilo Schindler; Karin Morgenstern";"2012-02-29";1;5;1;2012;"HBI";5,64;1;1
"136";50062;"Tilo Schindler; Karin Morgenstern";"2012-02-29";1;5;1;2012;"HBI";17,84;1;1
"137";50063;"Tilo Schindler; Karin Morgenstern";"2011-09-29";1;8;1;2012;"HBI";12,62;1;1
"138";50063;"Tilo Schindler; Karin Morgenstern";"2011-09-29";1;8;1;2012;"HBI";17,84;1;1
"139";50064;"Tilo Schindler; Karin Morgenstern";"2011-09-10";1;4;1;2012;"HBI";17,84;1;1
"140";50064;"Tilo Schindler; Karin Morgenstern";"2011-09-10";1;4;1;2012;"HBI";12,62;1;1
"141";50065;"Tilo Schindler; Karin Morgenstern";"2012-03-02";1;8;2;2012;"HBI";12,62;1;1
"142";50065;"Tilo Schindler; Karin Morgenstern";"2012-03-02";1;8;2;2012;"HBI";5,64;1;1
"143";50067;"Tilo Schindler; Karin Morgenstern";"2011-11-22";1;4;1;2012;"HBI";12,62;1;1
"144";50067;"Tilo Schindler; Karin Morgenstern";"2011-11-22";1;4;1;2012;"HBI";17,84;1;1
"145";50068;"Tilo Schindler; Karin Morgenstern";"2012-03-01";1;4;1;2012;"HBI";17,84;1;1
"146";50068;"Tilo Schindler; Karin Morgenstern";"2012-03-01";1;4;1;2012;"HBI";12,62;1;1
"147";50068;"Tilo Schindler; Karin Morgenstern";"2012-03-01";1;4;1;2012;"HBI";5,64;1;1
"148";50069;"Tilo Schindler; Karin Morgenstern";"2011-09-10";1;8;1;2012;"HBI";17,84;1;1
"149";50069;"Tilo Schindler; Karin Morgenstern";"2011-09-10";1;8;1;2012;"HBI";12,62;1;1
"150";50070;"Tilo Schindler; Karin Morgenstern";"2011-09-11";1;1;1;2012;"HBI";12,62;1;1
"151";50070;"Tilo Schindler; Karin Morgenstern";"2011-09-11";1;1;1;2012;"HBI";5,64;1;1
"152";50070;"Tilo Schindler; Karin Morgenstern";"2011-09-11";1;1;1;2012;"HBI";17,84;1;1
"153";50072;"Tilo Schindler; Karin Morgenstern";"2012-03-03";1;1;1;2012;"HBI";17,84;1;1
"154";50073;"KT";"2012-03-08";1;1;1;2012;"HBI";17,84;1;1
"155";50073;"KT";"2012-03-08";1;1;1;2012;"HBI";12,62;1;1
"156";50074;"Tilo Schindler; Karin Morgenstern";"2011-11-22";1;1;1;2012;"HBI";12,62;1;1
"157";50074;"Tilo Schindler; Karin Morgenstern";"2011-11-22";1;1;1;2012;"HBI";17,84;1;1
"158";50075;"Tilo Schindler; Karin Morgenstern";"2011-11-24";1;6;1;2012;"HBI";17,84;1;2
"159";50076;"Tilo Schindler; Karin Morgenstern";"2011-11-25";1;1;1;2012;"HBI";17,84;1;1
"160";50076;"Tilo Schindler; Karin Morgenstern";"2011-11-25";1;1;1;2012;"HBI";12,62;1;1
"161";50077;"Tilo Schindler; Karin Morgenstern";"2011-09-09";1;5;2;2012;"HBI";12,62;1;1
"162";50077;"Tilo Schindler; Karin Morgenstern";"2011-09-09";1;5;2;2012;"HBI";5,64;1;1
"163";50077;"Tilo Schindler; Karin Morgenstern";"2011-09-09";1;5;2;2012;"HBI";17,84;1;1
"164";50078;"Tilo Schindler; Karin Morgenstern";"2011-09-01";1;3;1;2012;"HBI";12,62;1;1
"165";50078;"Tilo Schindler; Karin Morgenstern";"2011-09-01";1;3;1;2012;"HBI";17,84;1;1
"166";50079;"Tilo Schindler; Karin Morgenstern";"2012-03-04";1;1;1;2012;"HBI";12,62;1;1
"167";50079;"Tilo Schindler; Karin Morgenstern";"2012-03-04";1;1;1;2012;"HBI";17,84;1;1
"168";50080;"Tilo Schindler; Karin Morgenstern";"2012-03-05";1;1;1;2012;"HBI";17,84;1;1
"169";50080;"Tilo Schindler; Karin Morgenstern";"2012-03-05";1;1;1;2012;"HBI";12,62;1;1
"170";50081;"Tilo Schindler; Karin Morgenstern";"2012-03-20";1;1;1;2012;"HBI";17,84;1;1
