"";"stand_component";"plot_ID";"inv";"compartiment";"SP_code";"B_t_ha";"C_t_ha";"N_t_ha";"stand";"n_ha";"n_SP"
"169";"RG";140045;"BZE3";"ag";"rbu";1,05270591974757;0,526352959873785;0,00484349730702106;"all";NA;NA
"170";"RG";140045;"BZE3";"ag";"vbe";0,000542681228495025;0,000271340614247512;2,49687633230561e-06;"all";NA;NA
"171";"RG";140045;"BZE3";"bg";"rbu";3,75410302732748e-07;1,87705151366375e-07;1,13749321728023e-09;"all";NA;NA
"172";"RG";140045;"BZE3";"fwb";"rbu";1,03623326881094;0,518116634405469;0,00476770926979912;"all";NA;NA
"173";"RG";140045;"BZE3";"ndl";"rbu";5,71557813585184e-07;2,85778906792592e-07;0;"all";NA;NA
"174";"RG";140045;"BZE3";"total";"rbu";1,03623421577906;0,518117107889528;0,00476771040729234;"all";NA;NA
"175";"RG";140045;"BZE3";"ag";"all";1,98466573768227;0,992332868841133;0,0088911388080684;"A";NA;NA
"176";"RG";140045;"BZE3";"bg";"all";3,75410302732748e-07;1,87705151366375e-07;1,13749321728023e-09;"A";NA;NA
"177";"RG";140045;"BZE3";"fwb";"all";1,03623326881094;0,518116634405469;0,00476770926979912;"A";NA;NA
"178";"RG";140045;"BZE3";"ndl";"all";5,71557813585184e-07;2,85778906792592e-07;0;"A";NA;NA
"179";"RG";140045;"BZE3";"total";"all";1,03623421577906;0,518117107889528;0,00476771040729234;"A";NA;NA
"180";"RG";140045;"BZE3";"ag";"all";1,98466573768227;0,992332868841133;0,0088911388080684;"all";26599,5267038913;3
"181";"RG";140045;"BZE3";"bg";"all";3,75410302732748e-07;1,87705151366375e-07;1,13749321728023e-09;"all";26599,5267038913;3
"182";"RG";140045;"BZE3";"fwb";"all";1,03623326881094;0,518116634405469;0,00476770926979912;"all";26599,5267038913;3
"183";"RG";140045;"BZE3";"ndl";"all";5,71557813585184e-07;2,85778906792592e-07;0;"all";26599,5267038913;3
"184";"RG";140045;"BZE3";"total";"all";1,03623421577906;0,518117107889528;0,00476771040729234;"all";26599,5267038913;3
"185";"RG";140046;"BZE3";"ag";"as";0,100606848156963;0,0503034240784813;0,000609375679286722;"all";NA;NA
"186";"RG";140046;"BZE3";"ag";"gfi";9,99354736009059;4,99677368004529;0,0717572546039062;"all";NA;NA
"187";"RG";140046;"BZE3";"ag";"sbi";1,33332514185821;0,666662570929106;0,00807595038423519;"all";NA;NA
