"stand_component","plot_ID","dw_sp","dw_type","ST_LY_type","decay","compartiment","B_t_ha_diff","C_t_ha_diff","N_t_ha_diff","n_ha_diff","n_dec_diff","n_dw_TY_diff","mean_d_cm_diff","sd_d_cm_diff","mean_l_m_diff","sd_l_m_diff"
"DW","140039","all","4","L","all","ag",2.69986952514184,1.34993476257092,0.00894079958728679,NA,NA,NA,5.7530241935484,1.6542075592969,0.054536290322581,0.0227714855969548
"DW","140039","all","4","L","all","stb",0.077820034078907,0.038910017039454,0.00033197827900425,NA,NA,NA,5.7530241935484,1.6542075592969,0.054536290322581,0.0227714855969548
"DW","140039","all","4","L","all","stw",0.96768103207273,0.48384051603637,0.00060167796676993,NA,NA,NA,5.7530241935484,1.6542075592969,0.054536290322581,0.0227714855969548
"DW","140039","all","4",NA,"1","ag",2.08589929701804,1.04294964850903,0.00229763973434787,NA,NA,NA,NA,NA,NA,NA
"DW","140039","all","4",NA,"1","stb",0.149922915881136,0.074961457940568,0.00072562691286469,NA,NA,NA,NA,NA,NA,NA
"DW","140039","all","4",NA,"1","stw",1.93597638113691,0.96798819056846,0.00157201282148318,NA,NA,NA,NA,NA,NA,NA
"DW","140039","all","4",NA,"3","ag",1.16629485308706,0.583147426543535,0.00564486708894141,NA,NA,NA,NA,NA,NA,NA
"DW","140039","all","4",NA,"4","ag",0.519744211512428,0.259872105756215,0.00251556198372016,NA,NA,NA,NA,NA,NA,NA
"DW","140039","all","4",NA,"5","ag",-0.0316706056092887,-0.0158353028046444,-0.000153285731148957,NA,NA,NA,NA,NA,NA,NA
"DW","140039","all","all",NA,"1","ag",1.41399772956166,0.70699886478084,-0.00095436385214101,NA,NA,NA,12.516339869281,4.4578690638747,-0.130065359477124,-0.441512395166612
"DW","140039","all","all",NA,"1","stb",0.149922915881136,0.074961457940568,0.00072562691286469,NA,NA,NA,12.516339869281,4.4578690638747,-0.130065359477124,-0.441512395166612
"DW","140039","all","all",NA,"1","stw",1.93597638113691,0.96798819056846,0.00157201282148318,NA,NA,NA,12.516339869281,4.4578690638747,-0.130065359477124,-0.441512395166612
"DW","140039","all","all",NA,"3","ag",1.72380017128749,0.861900085643747,0.00834319282903147,NA,NA,NA,-0.5833333333333,9.8548779823089,0.525,1.16389992082962
"DW","140039","all","all",NA,"4","ag",0.757612812405033,0.378806406202517,0.00366684601204036,NA,NA,NA,7.25,-1.37060341478572,0.308333333333333,0.456465855546443
"DW","140039","all","all",NA,"5","ag",-0.540318489254346,-0.270159244627174,-0.00261514148799103,NA,NA,NA,-2.25,-0.709217414871709,0.15,0.292225278929824
"DW","140039","all","all",NA,"all","ag",1.7173571118216,0.8586785559108,0.0041854395068169,-39.9725093848709,-1,-1,4.7879417879418,2.3895911169101,0.039085239085239,0.0868292489169861
