bund_nr,lfd_nr,typ,baumgruppe,anzahl,durchmesser,laenge,zersetzung
50015,16,4,1,-9,26,2,5
50015,17,1,1,-9,10,34,4
50015,18,4,1,-9,24,2,5
50015,19,4,1,-9,37,3,4
50015,20,4,1,-9,33,3,4
50015,21,1,1,-9,25,58,5
50015,22,4,1,-9,28,2,5
50015,23,4,1,-9,24,2,5
50015,24,1,1,-9,26,10,2
50015,25,4,1,-9,26,3,4
50015,26,4,1,-9,19,8,4
50015,27,1,1,-9,15,4,5
50015,28,4,1,-9,20,1,5
50015,29,4,1,-9,26,1,5
50015,30,4,1,-9,29,2,3
50015,31,1,1,-9,22,22,2
50015,32,4,1,-9,27,3,4
50015,33,4,1,-9,15,1,4
50015,34,4,1,-9,44,4,2
50015,35,1,1,-9,19,25,4
50015,36,1,1,-9,18,20,4
50015,37,4,1,-9,41,3,3
50015,38,1,1,-9,14,75,4
50015,39,1,1,-9,10,64,4
50015,40,1,1,-9,12,57,5
50016,1,4,2,-9,28,1,5
50016,2,1,2,-9,11,8,4
50016,3,1,2,-9,12,4,5
50016,4,1,2,-9,11,8,5
50016,5,4,2,-9,22,1,4
50016,6,1,2,-9,19,60,3
50016,7,1,2,-9,8,54,3
50016,8,1,2,-9,11,15,5
50017,1,4,3,-9,29,3,4
50017,2,4,3,-9,13,2,4
50017,3,4,3,-9,15,1,4
50017,4,1,3,-9,19,2,4
50017,5,4,3,-9,13,1,4
50017,6,1,3,-9,13,5,4
50017,7,4,3,-9,29,2,3
50017,8,4,3,-9,24,2,3
50017,9,4,3,-9,14,1,4
50017,10,4,3,-9,13,2,4
50017,11,4,3,-9,21,2,3
50017,12,4,3,-9,24,2,4
50017,13,4,3,-9,27,2,3
50017,14,4,3,-9,10,2,4
50017,15,4,3,-9,16,2,4
50017,16,4,3,-9,10,2,4
50017,17,1,3,-9,15,3,4
50017,18,4,3,-9,11,2,4
50017,19,4,3,-9,24,2,4
50017,20,1,3,-9,13,2,4
50017,21,4,3,-9,19,1,3
50017,22,4,3,-9,29,3,3
50017,23,1,3,-9,8,8,5
50017,24,4,3,-9,13,2,4
50017,25,4,3,-9,30,2,3
50017,26,4,3,-9,17,1,5
50017,27,4,3,-9,22,5,4
50017,28,4,3,-9,19,2,4
50017,29,4,3,-9,15,2,4
50017,30,4,3,-9,19,2,3
50017,31,4,3,-9,13,1,4
50018,1,4,1,-9,50,3,5
50018,2,4,1,-9,40,2,5
50018,3,4,1,-9,31,3,4
50018,4,4,1,-9,15,1,1
50018,5,1,1,-9,6,40,1
50018,6,4,1,-9,58,3,4
50018,7,4,1,-9,58,3,4
50018,8,4,1,-9,24,2,5
50018,9,4,1,-9,43,2,4
50018,10,4,1,-9,13,2,2
50018,11,1,1,-9,10,6,2
50018,12,4,1,-9,40,1,5
50018,13,4,1,-9,10,4,1
50018,14,4,1,-9,50,2,4
50018,15,4,1,-9,12,2,1
50018,16,1,1,-9,10,15,5
50018,17,4,1,-9,50,2,4
50018,18,4,1,-9,16,1,1
50018,19,4,1,-9,12,1,1
50018,20,4,1,-9,17,2,1
50018,21,1,1,-9,9,5,1
50018,22,1,1,-9,12,5,1
50018,23,4,1,-9,11,1,1
50018,24,1,1,-9,5,36,1
50018,25,4,1,-9,27,1,5
50018,26,4,1,-9,85,3,4
50018,27,4,1,-9,60,3,5
50018,28,4,1,-9,60,3,4
50018,29,4,1,-9,40,2,5
50018,30,4,1,-9,50,2,5
50018,31,4,1,-9,65,2,4
50018,32,4,1,-9,50,2,5
50018,33,4,1,-9,30,1,5
50019,1,1,1,-9,29,2,3
50019,2,1,1,-9,7,51,2
50019,3,1,1,-9,9,8,2
50019,4,1,1,-9,9,57,1
50019,5,4,1,-9,18,2,2
50019,6,4,1,-9,30,1,5
50019,7,4,1,-9,17,1,5
50019,8,4,1,-9,10,1,5
50019,9,4,1,-9,18,1,3
50019,10,4,1,-9,22,1,5
50019,11,4,1,-9,32,2,2
50019,12,4,1,-9,24,2,2
50019,13,1,1,-9,9,17,3
50019,14,1,1,-9,39,2,2
50019,15,4,1,-9,35,1,2
50019,16,4,1,-9,45,2,2
50019,17,1,1,-9,10,10,4
50019,18,1,1,-9,8,75,3
50019,19,4,1,-9,30,1,5
50019,20,4,1,-9,18,1,5
50019,21,4,1,-9,39,2,2
50019,22,1,1,-9,30,5,2
50019,23,4,1,-9,27,2,5
50019,24,4,1,-9,14,1,5
50019,25,4,1,-9,19,2,3
50019,26,4,1,-9,32,2,4
50019,27,4,1,-9,16,1,5
50019,28,4,1,-9,38,2,2
50019,29,4,1,-9,10,1,5
50019,30,4,1,-9,21,2,2
50019,31,4,1,-9,22,2,4
50019,32,4,1,-9,12,1,3
50019,33,1,1,-9,32,3,2
50019,34,4,1,-9,42,2,2
50019,35,1,1,-9,9,15,3
50019,36,1,1,-9,44,6,1
50019,37,1,1,-9,43,7,1
50019,38,4,1,-9,14,1,3
50019,39,1,1,-9,8,15,2
50019,40,4,1,-9,41,2,2
50019,41,4,1,-9,35,2,1
50019,42,4,1,-9,16,1,4
50019,43,4,1,-9,16,1,5
50019,44,4,1,-9,24,1,2
50019,45,1,1,-9,7,50,2
50019,46,4,1,-9,35,3,2
50019,47,4,1,-9,41,2,1
50019,48,1,1,-9,36,2,1
50019,49,1,1,-9,33,2,1
50019,50,1,1,-9,15,6,2
50019,51,4,1,-9,20,1,4
50019,52,4,1,-9,21,2,2
50019,53,4,1,-9,21,1,2
50019,54,4,1,-9,17,1,3
50019,55,1,1,-9,17,4,4
50019,56,4,1,-9,18,1,4
50019,57,4,1,-9,12,1,4
50019,58,2,1,-9,10,110,2
50019,59,4,1,-9,34,2,2
50019,60,4,1,-9,22,1,5
50019,61,4,1,-9,10,1,5
50019,62,4,1,-9,19,1,5
50019,63,4,1,-9,15,1,4
50019,64,4,1,-9,26,1,2
50019,65,4,1,-9,32,2,2
50019,66,4,1,-9,12,1,5
50019,67,1,1,-9,14,8,4
50019,68,4,1,-9,16,2,5
50019,69,4,1,-9,28,2,5
50019,70,4,1,-9,22,1,4
50019,71,4,1,-9,20,1,5
50019,72,4,1,-9,18,2,2
50020,1,1,1,-9,11,52,2
50020,2,1,1,-9,12,10,2
50020,3,4,1,-9,30,1,5
50020,4,4,1,-9,29,1,4
50020,5,1,1,-9,11,15,2
50020,6,1,1,-9,32,10,2
50020,7,1,1,-9,10,37,2
50020,8,4,1,-9,40,2,2
50020,9,1,1,-9,23,10,2
50020,10,4,1,-9,34,1,4
50020,11,5,1,-9,13,99,1
50020,12,1,1,-9,9,60,1
50020,13,4,1,-9,26,1,5
50020,14,4,1,-9,46,3,2
50020,15,4,1,-9,38,3,2
50020,16,1,1,-9,9,10,2
50020,17,1,1,-9,10,2,2
50020,18,4,1,-9,20,2,5
50020,19,1,1,-9,17,18,2
50020,20,1,1,-9,10,78,2
50020,21,4,1,-9,47,2,2
50020,22,1,1,-9,21,6,2
50020,23,1,1,-9,13,23,2
50020,24,1,1,-9,16,8,2
50020,25,1,1,-9,9,48,1
50020,26,1,1,-9,7,37,1
50020,27,1,1,-9,9,30,2
50020,28,4,1,-9,32,1,2
50020,30,4,1,-9,32,2,4
50020,31,1,1,-9,13,12,2
50020,32,1,1,-9,13,13,2
50020,33,4,1,-9,38,3,2
50020,34,1,1,-9,15,65,2
50020,35,1,1,-9,17,12,2
50020,36,4,1,-9,21,1,4
50020,37,4,1,-9,26,1,5
50020,38,1,1,-9,20,8,2
50020,39,1,1,-9,16,9,2
50020,40,1,1,-9,17,9,2
50020,41,4,1,-9,39,2,2
50020,42,4,1,-9,28,1,2
50020,43,4,1,-9,18,1,5
50020,44,4,1,-9,51,3,2
50020,45,4,1,-9,24,1,5
50020,46,1,1,-9,17,12,2
50020,47,1,1,-9,20,13,2
50020,48,1,1,-9,12,73,2
50020,49,4,1,-9,28,2,4
50020,50,4,1,-9,42,2,2
50020,51,1,1,-9,7,33,2
50020,52,4,1,-9,35,1,5
50020,53,4,1,-9,30,1,5
50021,17,4,1,-9,20,2,5
50021,1,4,1,-9,27,2,3
50021,2,1,1,-9,11,21,5
50021,3,4,1,-9,32,1,4
50021,4,4,1,-9,17,1,5
50021,5,4,1,-9,27,1,5
50021,6,4,1,-9,24,2,4
50021,7,1,1,-9,9,19,4
50021,8,4,1,-9,28,2,4
50021,9,1,1,-9,7,46,4
50021,10,4,1,-9,28,2,5
50021,11,4,1,-9,29,2,4
50021,12,1,1,-9,15,15,4
50021,13,1,1,-9,21,53,3
50021,14,4,1,-9,25,1,3
50021,15,3,1,-9,19,101,2
50021,16,4,1,-9,10,1,5
50021,18,1,1,-9,11,18,3
50021,19,1,1,-9,22,29,4
50021,20,4,1,-9,11,1,3
50021,21,1,1,-9,12,12,5
50021,22,4,1,-9,10,1,2
50021,23,1,1,-9,8,21,3
50021,24,4,1,-9,34,3,4
50021,25,4,1,-9,22,2,2
50021,26,1,1,-9,12,15,4
50021,27,1,1,-9,12,25,3
50021,28,1,1,-9,8,25,3
50021,29,1,1,-9,10,18,3
50021,30,1,1,-9,9,4,4
50021,31,1,1,-9,10,10,4
50021,32,4,1,-9,36,2,4
50021,33,4,1,-9,18,1,5
50021,34,4,1,-9,27,2,2
50021,35,4,1,-9,27,2,5
50021,36,4,1,-9,38,2,4
50021,37,4,1,-9,20,3,4
50021,38,1,1,-9,28,89,2
50021,39,4,1,-9,23,1,5
50021,40,4,1,-9,28,2,3
50021,41,4,1,-9,28,1,5
50022,27,1,1,-9,32,1,2
50022,28,1,1,-9,26,4,2
50022,29,1,1,-9,32,6,2
50022,30,1,1,-9,25,4,5
50022,31,1,1,-9,20,2,1
50022,3,4,1,-9,10,1,4
50022,4,4,1,-9,10,1,4
50022,5,1,1,-9,30,3,4
50022,6,4,1,-9,27,2,5
50022,7,1,1,-9,32,1,5
50022,1,4,1,-9,42,2,4
50022,8,4,1,-9,35,1,4
50022,9,4,1,-9,23,1,4
50022,10,4,1,-9,27,1,5
50022,11,4,1,-9,26,2,1
50022,12,4,1,-9,36,1,1
50022,13,4,1,-9,30,1,2
50022,2,4,1,-9,24,1,5
50022,14,4,1,-9,42,2,4
50022,15,4,1,-9,23,1,2
50022,16,4,1,-9,29,1,5
50022,17,4,1,-9,25,1,2
50022,18,1,1,-9,30,3,1
50022,19,4,1,-9,13,1,5
50022,20,4,1,-9,35,1,4
50022,21,4,1,-9,17,3,4
50022,22,4,1,-9,29,1,5
50022,23,4,1,-9,21,1,4
50022,24,4,1,-9,46,3,1
50022,25,4,1,-9,32,1,2
50022,26,1,1,-9,48,1,2
50023,31,1,2,-9,8,65,2
50023,32,1,1,-9,15,53,2
