bund_nr,otprobe,utprobe,pr_art,probennr,lfd_nr
120100,60,100,phg,,5
120100,100,130,phg,,6
120100,130,170,phg,,7
120100,170,190,phg,,8
120101,0,5,ftg,,1
120101,5,10,ftg,,2
120101,10,25,phg,,3
120101,25,50,phg,,4
120101,50,75,phg,,5
120101,75,105,phg,,6
120101,105,140,phg,,7
120101,140,160,phg,,8
120101,160,210,phg,,9
120102,0,5,ftg,,1
120102,5,10,ftg,,2
120102,10,20,phg,,3
120102,20,60,phg,,4
120102,60,90,phg,,5
120102,90,115,phg,,6
120102,115,140,phg,,7
120102,140,160,phg,,8
120102,160,200,phg,,9
120103,0,5,ftg,,1
120103,5,10,ftg,,2
120103,10,20,phg,,3
120103,20,37,phg,,4
120103,37,80,phg,,5
120103,80,130,phg,,6
120103,130,170,phg,,7
120104,0,5,ftg,,1
120104,5,10,ftg,,2
120104,10,24,phg,,3
120104,24,60,phg,,4
120104,60,95,phg,,5
120104,95,125,phg,,6
120104,125,175,phg,,7
120105,0,5,ftg,,1
120105,5,10,ftg,,2
120105,10,25,phg,,3
120105,25,60,phg,,4
120105,60,80,phg,,5
120105,80,115,phg,,6
120105,115,140,phg,,7
120105,140,160,phg,,8
120105,160,205,phg,,9
120106,0,5,ftg,,1
120106,5,10,ftg,,2
120106,10,22,phg,,3
120106,22,55,phg,,4
120106,55,130,phg,,5
120106,130,170,phg,,6
120106,170,190,phg,,7
120107,0,5,ftg,,1
120107,5,10,ftg,,2
120107,10,20,phg,,3
120107,20,60,phg,,4
120107,60,105,phg,,5
120107,105,130,phg,,6
120107,130,170,phg,,7
120107,170,195,phg,,8
120108,0,5,ftg,,1
120108,5,10,ftg,,2
120108,10,20,phg,,3
120108,20,60,phg,,4
120108,60,90,phg,,5
120108,90,140,phg,,6
120108,140,160,phg,,7
120109,0,5,ftg,,1
120109,5,10,ftg,,2
120109,10,22,phg,,3
120109,22,50,phg,,4
120109,50,90,phg,,5
120109,90,110,phg,,6
120109,110,140,phg,,7
120109,140,160,phg,,8
120109,160,180,phg,,9
120110,0,5,ftg,,1
120110,5,10,ftg,,2
120110,10,30,phg,,3
120110,30,52,phg,,4
120110,52,95,phg,,5
120110,95,140,phg,,6
120110,140,160,phg,,7
120110,160,200,phg,,8
120110,200,220,phg,,9
120111,0,5,ftg,,1
120111,5,10,ftg,,2
120111,10,20,phg,,3
120111,20,45,phg,,4
120111,45,90,phg,,5
120111,90,115,phg,,6
120111,115,130,phg,,7
120111,130,170,phg,,8
120111,170,200,phg,,9
120112,0,5,ftg,,1
120112,5,10,ftg,,2
120112,10,22,phg,,3
120112,22,50,phg,,4
120112,50,90,phg,,5
120112,90,110,phg,,6
120112,110,140,phg,,7
120112,140,160,phg,,8
120113,0,5,ftg,,1
120113,5,10,ftg,,2
120113,10,13,phg,,3
120113,13,30,phg,,4
120113,30,50,phg,,5
120113,50,100,phg,,6
120113,100,130,phg,,7
120113,130,170,phg,,8
120114,0,5,ftg,,1
120114,5,10,ftg,,2
120114,10,18,phg,,3
120114,18,35,phg,,4
120114,35,75,phg,,5
120114,75,120,phg,,6
120114,120,180,phg,,7
120115,0,5,ftg,,1
120115,5,10,ftg,,2
120115,10,25,phg,,3
120115,25,55,phg,,4
120115,55,85,phg,,5
120115,85,130,phg,,6
120115,130,170,phg,,7
120115,170,200,phg,,8
120116,0,5,ftg,,1
120116,5,10,ftg,,2
120116,10,25,phg,,3
120116,25,50,phg,,4
120116,50,90,phg,,5
120116,90,140,phg,,6
120116,140,160,phg,,7
120116,160,190,phg,,8
120117,0,5,ftg,,1
120117,5,10,ftg,,2
120117,10,20,phg,,3
120117,20,45,phg,,4
120117,45,70,phg,,5
120117,70,105,phg,,6
120117,105,140,phg,,7
120118,0,5,ftg,,1
120118,5,10,ftg,,2
120118,10,24,phg,,3
120118,24,43,phg,,4
120118,43,65,phg,,5
