id,kurz,lang,gueltig_ab,gueltig_bis
044.002.008,044.002.008,,1989-01-01,
044.002.009,044.002.009,,1989-01-01,
044.002.010,044.002.010,,1989-01-01,
044.002.011,044.002.011,,1989-01-01,
044.002.012,044.002.012,,1989-01-01,
044.002.013,044.002.013,,1989-01-01,
044.002.014,044.002.014,,1989-01-01,
044.002.015,044.002.015,,1989-01-01,
044.002.016,044.002.016,,1989-01-01,
044.002.017,044.002.017,,1989-01-01,
044.002.018,044.002.018,,1989-01-01,
044.002.019,044.002.019,,1989-01-01,
044.002.999,044.002.999,,1989-01-01,
045.001.001,045.001.001,,1989-01-01,
045.001.002,045.001.002,,1989-01-01,
045.001.999,045.001.999,,1989-01-01,
046.001.001,046.001.001,,1989-01-01,
047.001.001,047.001.001,,1989-01-01,
047.002.001,047.002.001,,1989-01-01,
047.002.002,047.002.002,,1989-01-01,
047.002.003,047.002.003,,1989-01-01,
047.002.004,047.002.004,,1989-01-01,
047.002.005,047.002.005,,1989-01-01,
047.002.006,047.002.006,,1989-01-01,
047.002.007,047.002.007,,1989-01-01,
047.002.008,047.002.008,,1989-01-01,
047.002.009,047.002.009,,1989-01-01,
047.002.010,047.002.010,,1989-01-01,
047.002.011,047.002.011,,1989-01-01,
047.002.012,047.002.012,,1989-01-01,
047.002.013,047.002.013,,1989-01-01,
047.002.014,047.002.014,,1989-01-01,
047.002.015,047.002.015,,1989-01-01,
047.002.016,047.002.016,,1989-01-01,
047.002.017,047.002.017,,1989-01-01,
047.002.018,047.002.018,,1989-01-01,
047.002.019,047.002.019,,1989-01-01,
047.002.020,047.002.020,,1989-01-01,
047.002.021,047.002.021,,1989-01-01,
047.002.022,047.002.022,,1989-01-01,
047.002.023,047.002.023,,1989-01-01,
047.002.024,047.002.024,,1989-01-01,
047.002.025,047.002.025,,1989-01-01,
047.002.026,047.002.026,,1989-01-01,
047.002.027,047.002.027,,1989-01-01,
047.002.028,047.002.028,,1989-01-01,
047.002.029,047.002.029,,1989-01-01,
047.002.030,047.002.030,,1989-01-01,
047.002.031,047.002.031,,1989-01-01,
047.002.032,047.002.032,,1989-01-01,
047.002.033,047.002.033,,1989-01-01,
047.002.034,047.002.034,,1989-01-01,
047.002.035,047.002.035,,1989-01-01,
047.002.036,047.002.036,,1989-01-01,
047.002.037,047.002.037,,1989-01-01,
047.002.038,047.002.038,,1989-01-01,
047.002.039,047.002.039,,1989-01-01,
047.002.040,047.002.040,,1989-01-01,
047.002.041,047.002.041,,1989-01-01,
047.002.042,047.002.042,,1989-01-01,
047.002.043,047.002.043,,1989-01-01,
047.002.044,047.002.044,,1989-01-01,
047.002.999,047.002.999,,1989-01-01,
047.003.001,047.003.001,,1989-01-01,
047.003.002,047.003.002,,1989-01-01,
047.003.003,047.003.003,,1989-01-01,
047.003.999,047.003.999,,1989-01-01,
047.004.001,047.004.001,,1989-01-01,
047.004.002,047.004.002,,1989-01-01,
047.004.999,047.004.999,,1989-01-01,
047.005.001,047.005.001,,1989-01-01,
047.005.002,047.005.002,,1989-01-01,
047.005.999,047.005.999,,1989-01-01,
047.006.001,047.006.001,,1989-01-01,
047.007.001,047.007.001,,1989-01-01,
047.007.002,047.007.002,,1989-01-01,
047.007.999,047.007.999,,1989-01-01,
047.008.001,047.008.001,,1989-01-01,
047.008.002,047.008.002,,1989-01-01,
047.008.003,047.008.003,,1989-01-01,
047.008.004,047.008.004,,1989-01-01,
047.008.005,047.008.005,,1989-01-01,
047.008.006,047.008.006,,1989-01-01,
047.008.007,047.008.007,,1989-01-01,
047.008.008,047.008.008,,1989-01-01,
047.008.009,047.008.009,,1989-01-01,
047.008.010,047.008.010,,1989-01-01,
047.008.011,047.008.011,,1989-01-01,
047.008.012,047.008.012,,1989-01-01,
047.008.013,047.008.013,,1989-01-01,
047.008.014,047.008.014,,1989-01-01,
047.008.015,047.008.015,,1989-01-01,
047.008.016,047.008.016,,1989-01-01,
047.008.017,047.008.017,,1989-01-01,
047.008.018,047.008.018,,1989-01-01,
047.008.019,047.008.019,,1989-01-01,
047.008.020,047.008.020,,1989-01-01,
047.008.021,047.008.021,,1989-01-01,
047.008.022,047.008.022,,1989-01-01,
047.008.023,047.008.023,,1989-01-01,
047.008.024,047.008.024,,1989-01-01,
047.008.025,047.008.025,,1989-01-01,
047.008.026,047.008.026,,1989-01-01,
047.008.027,047.008.027,,1989-01-01,
047.008.028,047.008.028,,1989-01-01,
047.008.029,047.008.029,,1989-01-01,
047.008.030,047.008.030,,1989-01-01,
047.008.031,047.008.031,,1989-01-01,
047.008.032,047.008.032,,1989-01-01,
