MoMoK_Nr;Name;Bundeland;Datum;Nr_VJ_PK;Lage;Distanz MB [cm];pk_maxdist [cm];LfdNr;Baumart (Code);Baumart ;Hoehe [cm];grklasse
33050;Rätzsee/Fleeth;MV;08.08.2022;W;West;1000;494;7;;RER;120;0
33050;Rätzsee/Fleeth;MV;08.08.2022;W;West;1000;494;8;;FLB;260;1
33050;Rätzsee/Fleeth;MV;08.08.2022;W;West;1000;494;9;;RER;660;3
33050;Rätzsee/Fleeth;MV;08.08.2022;W;West;1000;494;10;;FLB;620;2
33010;Pälitzsee/Pelzkuhl;MV;10.08.2022;N;Nord;1000;498;1;;RER;420;3
33010;Pälitzsee/Pelzkuhl;MV;10.08.2022;N;Nord;1000;498;2;;RER;600;1
33010;Pälitzsee/Pelzkuhl;MV;10.08.2022;N;Nord;1000;498;3;;RER;120;0
33010;Pälitzsee/Pelzkuhl;MV;10.08.2022;N;Nord;1000;498;4;;RER;115;0
33010;Pälitzsee/Pelzkuhl;MV;10.08.2022;N;Nord;1000;498;5;;RER;160;1
33010;Pälitzsee/Pelzkuhl;MV;10.08.2022;N;Nord;1000;498;6;;KD;70;0
33010;Pälitzsee/Pelzkuhl;MV;10.08.2022;E;Ost;1000;483;1;;RER;160;1
33010;Pälitzsee/Pelzkuhl;MV;10.08.2022;E;Ost;1000;483;2;;RER;125;0
33010;Pälitzsee/Pelzkuhl;MV;10.08.2022;E;Ost;1000;483;3;;RER;120;0
33010;Pälitzsee/Pelzkuhl;MV;10.08.2022;E;Ost;1000;483;4;;RER;180;1
33010;Pälitzsee/Pelzkuhl;MV;10.08.2022;E;Ost;1000;483;5;;RER;250;1
33010;Pälitzsee/Pelzkuhl;MV;10.08.2022;E;Ost;1000;483;6;;RER;180;1
33010;Pälitzsee/Pelzkuhl;MV;10.08.2022;E;Ost;1000;483;7;;RER;100;0
33010;Pälitzsee/Pelzkuhl;MV;10.08.2022;E;Ost;1000;483;8;;RER;180;1
33010;Pälitzsee/Pelzkuhl;MV;10.08.2022;E;Ost;1000;483;9;;RER;180;1
33010;Pälitzsee/Pelzkuhl;MV;10.08.2022;S;Süd;1000;469;1;;RER;320;1
33010;Pälitzsee/Pelzkuhl;MV;10.08.2022;S;Süd;1000;469;2;;RER;105;0
33010;Pälitzsee/Pelzkuhl;MV;10.08.2022;S;Süd;1000;469;3;;RER;170;1
33010;Pälitzsee/Pelzkuhl;MV;10.08.2022;S;Süd;1000;469;4;;RER;160;1
33010;Pälitzsee/Pelzkuhl;MV;10.08.2022;S;Süd;1000;469;5;;RER;55;0
33010;Pälitzsee/Pelzkuhl;MV;10.08.2022;W;West;1000;476;1;;RER;240;1
33010;Pälitzsee/Pelzkuhl;MV;10.08.2022;W;West;1000;476;2;;RER;110;0
33010;Pälitzsee/Pelzkuhl;MV;10.08.2022;W;West;1000;476;3;;RER;170;1
33010;Pälitzsee/Pelzkuhl;MV;10.08.2022;W;West;1000;476;4;;RER;290;1
33010;Pälitzsee/Pelzkuhl;MV;10.08.2022;W;West;1000;476;5;;RER;230;3
33010;Pälitzsee/Pelzkuhl;MV;10.08.2022;W;West;1000;476;6;;RER;90;0
33010;Pälitzsee/Pelzkuhl;MV;10.08.2022;W;West;1000;476;7;;RER;260;1
33010;Pälitzsee/Pelzkuhl;MV;10.08.2022;W;West;1000;476;8;;RER;210;1
33010;Pälitzsee/Pelzkuhl;MV;10.08.2022;W;West;1000;476;9;;RER;200;1
33010;Pälitzsee/Pelzkuhl;MV;10.08.2022;W;West;1000;476;10;;RER;120;0
34030;Steinbach/Steinbach;SN;24.08.2022;N;Nord;1000;207;1;;GFI;50;0
34030;Steinbach/Steinbach;SN;24.08.2022;N;Nord;1000;207;2;;GFI;45;0
34030;Steinbach/Steinbach;SN;24.08.2022;N;Nord;1000;207;3;;GFI;35;0
34030;Steinbach/Steinbach;SN;24.08.2022;N;Nord;1000;207;4;;GFI;30;0
34030;Steinbach/Steinbach;SN;24.08.2022;N;Nord;1000;207;5;;GFI;30;0
34030;Steinbach/Steinbach;SN;24.08.2022;N;Nord;1000;207;6;;GFI;30;0
34030;Steinbach/Steinbach;SN;24.08.2022;N;Nord;1000;207;7;;GFI;25;0
34030;Steinbach/Steinbach;SN;24.08.2022;N;Nord;1000;207;8;;GFI;30;0
34030;Steinbach/Steinbach;SN;24.08.2022;N;Nord;1000;207;9;;GFI;40;0
34030;Steinbach/Steinbach;SN;24.08.2022;N;Nord;1000;207;10;;GFI;45;0
34030;Steinbach/Steinbach;SN;24.08.2022;E;Ost;1000;409;1;;GFI;85;0
34030;Steinbach/Steinbach;SN;24.08.2022;E;Ost;1000;409;2;;GFI;240;1
34030;Steinbach/Steinbach;SN;24.08.2022;S;Süd;1000;159;1;;GFI;25;0
34030;Steinbach/Steinbach;SN;24.08.2022;S;Süd;1000;159;2;;GFI;25;0
34030;Steinbach/Steinbach;SN;24.08.2022;S;Süd;1000;159;3;;GFI;50;0
34030;Steinbach/Steinbach;SN;24.08.2022;S;Süd;1000;159;4;;GFI;45;0
34030;Steinbach/Steinbach;SN;24.08.2022;S;Süd;1000;159;5;;GFI;25;0
34030;Steinbach/Steinbach;SN;24.08.2022;S;Süd;1000;159;6;;GFI;35;0
34030;Steinbach/Steinbach;SN;24.08.2022;S;Süd;1000;159;7;;GFI;20;0
34030;Steinbach/Steinbach;SN;24.08.2022;S;Süd;1000;159;8;;GFI;25;0
34030;Steinbach/Steinbach;SN;24.08.2022;S;Süd;1000;159;9;;GFI;30;0
34030;Steinbach/Steinbach;SN;24.08.2022;S;Süd;1000;159;10;;GFI;35;0
34030;Steinbach/Steinbach;SN;24.08.2022;W;West;1000;380;1;;EB;30;0
34030;Steinbach/Steinbach;SN;24.08.2022;W;West;1000;380;2;;EB;40;0
34030;Steinbach/Steinbach;SN;24.08.2022;W;West;1000;380;3;;GFI;280;1
34030;Steinbach/Steinbach;SN;24.08.2022;W;West;1000;380;4;;GFI;200;1
34030;Steinbach/Steinbach;SN;24.08.2022;W;West;1000;380;5;;GFI;320;1
34030;Steinbach/Steinbach;SN;24.08.2022;W;West;1000;380;6;;GFI;500;3
34030;Steinbach/Steinbach;SN;24.08.2022;W;West;1000;380;7;;GFI;280;1
34030;Steinbach/Steinbach;SN;24.08.2022;W;West;1000;380;8;;GFI;110;0
34030;Steinbach/Steinbach;SN;24.08.2022;W;West;1000;380;9;;GFI;270;1
34030;Steinbach/Steinbach;SN;24.08.2022;W;West;1000;380;10;;GFI;85;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;N;Nord;1000;330;1;;GFI;20;0
34040;Milchbach/Erlabrunn;SN;14.09.2022;N;Nord;1000;330;2;;GFI;35;0
