bund_nr,labor,labornr,methode,parameter,messnr,datum,wert,nwg,laboreinheit,methcode1,methcode2,methcode3,atyp,lab_quelle
140001,220,200630188,52,4,1,2007-01-16,2.56,0.0166666666666667,g/kg,2300620000,52190902,0400000,31,2
140001,100,0613182,52,5,1,2007-10-16,0.125,0.00999999977648258,mg/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,5;1;1;-1;-1;0,14,2
140001,100,0613183,52,5,1,2007-10-16,0.0700000002980232,0.00999999977648258,mg/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,5;1;1;-1;-1;0,14,2
140001,100,1101201,52,5,1,2012-02-17,0.126000002026558,0.00999999977648258,mg/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,5;1;1;-1;-1;0,14,2
140001,100,1101202,52,5,1,2012-02-17,0.142000004649162,0.00999999977648258,mg/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,5;1;1;-1;-1;0,14,2
140001,220,200600502,52,5,1,2007-01-16,0.0976,0.0333333333333333,mg/kg,2300620000,52190902,0400000,10,2
140001,220,200600503,52,5,1,2007-01-16,0.0534,0.0333333333333333,mg/kg,2300620000,52190902,0400000,10,2
140001,220,200600504,52,5,1,2007-01-16,0.0631,0.0333333333333333,mg/kg,2300620000,52190902,0400000,10,2
140001,220,200600505,52,5,1,2007-01-16,0.0824,0.0333333333333333,mg/kg,2300620000,52190902,0400000,10,2
140001,220,200600506,52,5,1,2007-01-16,0.0782,0.0333333333333333,mg/kg,2300620000,52190902,0400000,10,2
140001,220,200600507,52,5,1,2007-01-16,0.06725,0.0333333333333333,mg/kg,2300620000,52190902,0400000,30,2
140001,220,200600508,52,5,1,2007-01-16,0.0407,0.0333333333333333,mg/kg,2300620000,52190902,0400000,30,2
140001,220,200630187,52,5,1,2007-01-16,0.718,0.0333333333333333,mg/kg,2300620000,52190902,0400000,31,2
140001,220,200630188,52,5,1,2007-01-16,0.252,0.0333333333333333,mg/kg,2300620000,52190902,0400000,31,2
140001,100,0613182,52,8,1,2007-10-16,17.7999992370605,0.600000023841858,mg/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,5;1;1;-1;-1;0,14,2
140001,100,0613183,52,8,1,2007-10-16,16.3999996185303,0.600000023841858,mg/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,5;1;1;-1;-1;0,14,2
140001,100,1101201,52,8,1,2012-02-17,15.8999996185303,0.5,mg/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,5;1;1;-1;-1;0,14,2
140001,100,1101202,52,8,1,2012-02-17,14.6000003814697,0.5,mg/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,5;1;1;-1;-1;0,14,2
140001,220,200600502,52,8,1,2007-01-16,16.0,0.16666666666667,mg/kg,2300620000,52190902,0400000,10,2
140001,220,200600503,52,8,1,2007-01-16,14.5,0.16666666666667,mg/kg,2300620000,52190902,0400000,10,2
140001,220,200600504,52,8,1,2007-01-16,14.4,0.16666666666667,mg/kg,2300620000,52190902,0400000,10,2
140001,220,200600505,52,8,1,2007-01-16,16.5,0.16666666666667,mg/kg,2300620000,52190902,0400000,10,2
140001,220,200600506,52,8,1,2007-01-16,13.6,0.16666666666667,mg/kg,2300620000,52190902,0400000,10,2
140001,220,200600507,52,8,1,2007-01-16,14.45,0.16666666666667,mg/kg,2300620000,52190902,0400000,30,2
140001,220,200600508,52,8,1,2007-01-16,13.7,0.16666666666667,mg/kg,2300620000,52190902,0400000,30,2
140001,220,200630187,52,8,1,2007-01-16,15.9,0.16666666666667,mg/kg,2300620000,52190902,0400000,31,2
140001,220,200630188,52,8,1,2007-01-16,29.4,0.16666666666667,mg/kg,2300620000,52190902,0400000,31,2
140001,100,0613182,52,9,1,2007-10-16,10.1199998855591,0.5,mg/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,5;1;1;-1;-1;8,14,2
140001,100,0613183,52,9,1,2007-10-16,4.57999992370605,0.5,mg/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,5;1;1;-1;-1;8,14,2
140001,100,1101201,52,9,1,2012-02-17,4.63000011444092,0.5,mg/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,5;1;1;-1;-1;8,14,2
140001,100,1101202,52,9,1,2012-02-17,5.1399998664856,0.5,mg/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,5;1;1;-1;-1;8,14,2
140001,220,200600502,52,9,1,2007-01-16,8.93,0.16666666666667,mg/kg,2300620000,52190902,0400000,10,2
140001,220,200600503,52,9,1,2007-01-16,3.94,0.16666666666667,mg/kg,2300620000,52190902,0400000,10,2
140001,220,200600504,52,9,1,2007-01-16,3.43,0.16666666666667,mg/kg,2300620000,52190902,0400000,10,2
140001,220,200600505,52,9,1,2007-01-16,3.98,0.16666666666667,mg/kg,2300620000,52190902,0400000,10,2
140001,220,200600506,52,9,1,2007-01-16,4.37,0.16666666666667,mg/kg,2300620000,52190902,0400000,10,2
140001,220,200600507,52,9,1,2007-01-16,3.99,0.16666666666667,mg/kg,2300620000,52190902,0400000,30,2
140001,220,200600508,52,9,1,2007-01-16,4.29,0.16666666666667,mg/kg,2300620000,52190902,0400000,30,2
140001,220,200630187,52,9,1,2007-01-16,17.8,0.16666666666667,mg/kg,2300620000,52190902,0400000,31,2
140001,220,200630188,52,9,1,2007-01-16,28.9,0.16666666666667,mg/kg,2300620000,52190902,0400000,31,2
140001,100,0613182,52,12,1,2007-10-16,13.475,0.005,g/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,4;1;1;-1;-1;9,14,2
140001,100,0613183,52,12,1,2007-10-16,14.816,0.005,g/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,4;1;1;-1;-1;9,14,2
140001,100,1101201,52,12,1,2011-11-29,12.512,0.065,g/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,4;1;1;-1;-1;9,14,2
140001,100,1101202,52,12,1,2011-11-29,13.107,0.065,g/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,4;1;1;-1;-1;9,14,2
140001,220,200600502,52,12,1,2007-01-16,14.0,0.0166666666666667,g/kg,2300620000,52190902,0400000,10,2
140001,220,200600503,52,12,1,2007-01-16,14.7,0.0166666666666667,g/kg,2300620000,52190902,0400000,10,2
140001,220,200600504,52,12,1,2007-01-16,14.6,0.0166666666666667,g/kg,2300620000,52190902,0400000,10,2
140001,220,200600505,52,12,1,2007-01-16,14.7,0.0166666666666667,g/kg,2300620000,52190902,0400000,10,2
140001,220,200600506,52,12,1,2007-01-16,13.4,0.0166666666666667,g/kg,2300620000,52190902,0400000,10,2
140001,220,200600507,52,12,1,2007-01-16,12.3,0.0166666666666667,g/kg,2300620000,52190902,0400000,30,2
140001,220,200600508,52,12,1,2007-01-16,11.7,0.0166666666666667,g/kg,2300620000,52190902,0400000,30,2
140001,220,200630187,52,12,1,2007-01-16,6.94,0.0166666666666667,g/kg,2300620000,52190902,0400000,31,2
140001,220,200630188,52,12,1,2007-01-16,14.2,0.0166666666666667,g/kg,2300620000,52190902,0400000,31,2
140001,100,0613182,52,16,1,2007-10-16,1.006,0.006,g/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,4;1;1;-1;-1;0,14,2
140001,100,0613183,52,16,1,2007-10-16,1.15,0.006,g/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,4;1;1;-1;-1;0,14,2
140001,100,1101201,52,16,1,2011-11-29,1.248,0.015,g/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,4;1;1;-1;-1;0,14,2
140001,100,1101202,52,16,1,2011-11-29,1.151,0.015,g/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,4;1;1;-1;-1;0,14,2
140001,220,200600502,52,16,1,2007-01-16,1.39,0.0333333333333333,g/kg,2300620000,52190902,0100000,10,2
140001,220,200600503,52,16,1,2007-01-16,1.48,0.0333333333333333,g/kg,2300620000,52190902,0100000,10,2
140001,220,200600504,52,16,1,2007-01-16,1.46,0.0333333333333333,g/kg,2300620000,52190902,0100000,10,2
140001,220,200600505,52,16,1,2007-01-16,1.79,0.0333333333333333,g/kg,2300620000,52190902,0100000,10,2
140001,220,200600506,52,16,1,2007-01-16,1.36,0.0333333333333333,g/kg,2300620000,52190902,0100000,10,2
140001,220,200600507,52,16,1,2007-01-16,1.525,0.0333333333333333,g/kg,2300620000,52190902,0100000,30,2
140001,220,200600508,52,16,1,2007-01-16,1.35,0.0333333333333333,g/kg,2300620000,52190902,0100000,30,2
140001,220,200630187,52,16,1,2007-01-16,1.47,0.0333333333333333,g/kg,2300620000,52190902,0100000,31,2
140001,220,200630188,52,16,1,2007-01-16,1.36,0.0333333333333333,g/kg,2300620000,52190902,0100000,31,2
140001,100,0613182,52,17,1,2007-10-16,1.002,0.000699999988079071,g/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,4;1;1;-1;-1;2,14,2
140001,100,0613183,52,17,1,2007-10-16,1.153,0.000699999988079071,g/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,4;1;1;-1;-1;2,14,2
140001,100,1101201,52,17,1,2011-11-29,1.221,0.015,g/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,4;1;1;-1;-1;1,14,2
140001,100,1101202,52,17,1,2011-11-29,0.915,0.015,g/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,4;1;1;-1;-1;1,14,2
140001,220,200600502,52,17,1,2007-01-16,1.19,0.0166666666666667,g/kg,2300620000,52190902,0400000,10,2
140001,220,200600503,52,17,1,2007-01-16,1.21,0.0166666666666667,g/kg,2300620000,52190902,0400000,10,2
140001,220,200600504,52,17,1,2007-01-16,1.2,0.0166666666666667,g/kg,2300620000,52190902,0400000,10,2
140001,220,200600505,52,17,1,2007-01-16,1.71,0.0166666666666667,g/kg,2300620000,52190902,0400000,10,2
140001,220,200600506,52,17,1,2007-01-16,1.06,0.0166666666666667,g/kg,2300620000,52190902,0400000,10,2
140001,220,200600507,52,17,1,2007-01-16,1.29,0.0166666666666667,g/kg,2300620000,52190902,0400000,30,2
140001,220,200600508,52,17,1,2007-01-16,0.985,0.0166666666666667,g/kg,2300620000,52190902,0400000,30,2
140001,220,200630187,52,17,1,2007-01-16,3.39,0.0166666666666667,g/kg,2300620000,52190902,0400000,31,2
140001,220,200630188,52,17,1,2007-01-16,1.53,0.0166666666666667,g/kg,2300620000,52190902,0400000,31,2
140001,100,0613182,52,18,1,2007-10-16,0.408,0.000400000005960464,g/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,4;1;1;-1;-1;0,14,2
