bund_nr,othori,uthori,uz,farbe,humus,kalk,hydrooxid,hydrooxidanteil,hydrored,hydroredanteil,geform,aggroesse,pedogen,wurzelintfein,wurzelintgrob,wurzelverteil
50042,110,130,True,-1,h0,c0,e0,-2,rb,f7,koh,-1,-1,wf0,wg0,z
50043,0,5,,7.5YR3/2,h4,c0,e0,-2,r0,-2,sub,gre3,-1,wf4,wg0,g
50043,5,30,,10YR5/6,h1,c0,e0,-2,r0,-2,sub,gre3,-1,wf4,wg0,g
50043,30,45,,10YR4/3,h0,c0,e0,-2,r0,-2,sub,gre3,-1,wf3,wg0,g
50043,45,75,,10YR5/3,h0,c0,e0,-2,r0,-2,sub,gre2,-1,wf1,wg0,u
50043,75,100,True,10YR4/2,h0,c0,e0,-2,r0,-2,-1,-1,-1,wf0,wg0,z
50044,0,8,,10YR3/4,h4,c0,e0,-2,r0,-2,sub,gre2,-1,wf5,wg0,g
50044,8,75,,10YR5/6,h0,c0,e0,-2,r0,-2,sub,gre2,-1,wf3,wg0,g
50044,75,95,,10YR6/6,h0,c0,e0,-2,r0,-2,sub,gre2,-1,wf3,wg0,g
50044,95,140,,10YR6/6,h0,c0,e0,-2,r0,-2,sub,gre2,-1,wf1,wg0,g
50044,140,150,True,-1,h0,c0,e0,-2,r0,-2,-1,-1,-1,wf0,wg0,z
50045,0,3,,10YR4/1,h3,c0,e0,-2,r0,-2,sub,gre2,-1,wf3,wg0,g
50045,3,8,,10YR8/1,h1,c0,e0,-2,r0,-2,sub,gre2,-1,wf1,wg0,g
50045,8,12,,10YR6/6,h2,c0,e0,-2,r0,-2,sub,gre2,-1,wf2,wg0,g
50045,12,30,,10YR6/6,h1,c0,eh,f2,r0,-2,sub,gre2,-1,wf3,wg0,g
50045,30,35,,10YR6/6,h0,c0,eh,f5,rb,f5,sub,gre3,-1,wf2,wg0,g
50045,35,63,,10YR6/6,h0,c0,eh,f5,rb,f5,sub,gre3,-1,wf2,wg0,g
50045,63,100,,10YR7/2,h0,c0,eh,f4,rb,f6,sub,gre3,-1,wf2,wg0,g
50045,100,150,True,10YR7/2,h0,c3,eh,f4,rb,f6,sub,gre2,-1,wf1,wg0,g
50046,0,10,,7.5YR4/4,h4,c0,e0,-2,r0,-2,sub,gre3,-1,wf5,wg0,g
50046,10,20,,10YR4/4,h3,c0,e0,-2,r0,-2,sub,gre3,-1,wf4,wg0,g
50046,20,35,,7.5YR6/6,h1,c0,e,f3,r,f2,pol,gre3,-1,wf3,wg0,g
