"","X.1","X","Nr_code","Chr_code_ger","name","bot_name","bot_genus","bot_species","Flora_EU","LH_NH","IPC","WZE","BWI","BZE_al","tpS_SP_com_name","tpS_ID","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group"
"119",119,119,309,"SbA","Schneeball-Ahorn","Acer opalus","Acer","opalus","095.001.008","LB",3,30011,"AH","WAHR","Acer spp.",22,"bu","aLh","bu","AH","BU"
"120",120,120,310,"KAp","Kulturapfel","Malus domestica","Malus","domestica","080.027.006","LB",27,30011,"SLB","FALSCH","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI"
"121",121,121,311,"KBi","Kulturbirne","Pyrus communis","Pyrus","communis","080.026.013","LB",40,30011,"SLB","WAHR","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI"
"122",122,122,312,"HEr","Herzblättrige Erle
","Alnus cordata ","Alnus","cordata ","034.002.005","LB",6,30011,"ERL","FALSCH","Alnus spp.",28,"bu","aLn","shw","ERL","BI"
"123",123,123,313,"ÖEb","Östliche Erdbeerbaum","Arbutus andrachne","Arbutus","andrachne","132.012.002","LB",74,30011,"SLB","FALSCH","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI"
"124",124,124,314,"WEb","Westlicher Erdbeerbaum","Arbutus unedo","Arbutus","unedo","132.012.001","LB",73,30011,"SLB","FALSCH","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI"
"125",125,125,315,"OBu","Orient-Buche","Fagus orientalis","Fagus","orientalis","","LB",19,30011,"BU","FALSCH","Fagus sylvatica",15,"bu","bu","bu","BU","BU"
"126",126,126,316,"BSl","Breitblättrige Steinlinde","Phillyrea latifolia","Phillyrea","latifolia","139.008.002","LB",82,30011,"SLB","FALSCH","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI"
"127",127,127,317,"WPi","Wilde Pistazie","Pistacia lentiscus","Pistacia","lentiscus","094.003.004","LB",84,30011,"SLB","FALSCH","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI"
"128",128,128,318,"Eri","Erikagewächs Strauch","Erica manipuliflora","Erica","manipuliflora","132.001.012","LB",79,30011,"SLB","FALSCH","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI"
"129",129,129,319,"EWa","Griechischer Wacholder","Juniperus excelsa","Juniperus","excelsa","028.005.009","NB",144,30012,"SNB","FALSCH","Coniferales trees",14,"fi","fi","fi","FI","FI"
"130",130,130,320,"OWa","Stech-Wacholder","Juniperus oxycedrus","Juniperus","oxycedrus","028.005.003","NB",112,30012,"SNB","FALSCH","Coniferales trees",14,"fi","fi","fi","FI","FI"
"131",131,131,321,"PWa","Phönizische Wacholder","Juniperus phoenicea","Juniperus","phoenicea","028.005.006","NB",113,30012,"SNB","FALSCH","Coniferales trees",14,"fi","fi","fi","FI","FI"
"132",132,132,322,"SaW","Stink-Wacholder/Sadebaum","Juniperus sabina","Juniperus","sabina","028.005.010","NB",114,30012,"SNB","FALSCH","Coniferales trees",14,"fi","fi","fi","FI","FI"
"133",133,133,323,"TWa","Spanischer Wacholder","Juniperus thurifera","Juniperus","thurifera","028.005.007","NB",115,30012,"SNB","FALSCH","Coniferales trees",14,"fi","fi","fi","FI","FI"
"134",134,134,324,"HZw","Hauszwetschge","Prunus domestica","Prunus","domestica","?","LB",233,30011,"KIR","FALSCH","Prunus avium",29,"bu","aLn","shw","BI","BI"
"135",135,135,325,"GBu","Gewöhnliche Buchsbaum","Buxus sempervirens","Buxus","sempervirens","","LB",12,30011,"SLB","FALSCH","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI"
"136",136,136,326,"Ohb","Orientalische Hainbuche","Carpinus orientalis","Carpinus","orientalis","","LB",14,30011,"HBU","WAHR","Carpinus betulus",16,"bu","aLh","bu","BU","BU"
"137",137,137,327,"HaN","Haselnussstrauch","Corylus avellana","Corylus","avellana","","LB",16,30011,"SLB","FALSCH","Magnoliopsida trees",35,"bu","aLh","bu","BU","BU"
"138",138,138,328,"Euk","Eukalypten","Eucalyptus spp.","Eucalyptus","spp.","","LB",17,30011,"SLB","FALSCH","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI"
"139",139,139,329,"FaM","? Fagus moesiaca","Fagus moesiaca","Fagus","moesiaca","","LB",18,30011,"BU","FALSCH","Fagus sylvatica",15,"bu","bu","bu","BU","BU"
"140",140,140,330,"SbE","Schmalblättrige Esche","Fraxinus angustifolia spp. Oxycarpa","Fraxinus","angustifolia spp. Oxycarpa","","LB",21,30011,"ES","FALSCH","Fraxinus excelsior",21,"bu","aLh","bu","ES","BU"
"141",141,141,331,"MaE","Manna-Esche","Fraxinus ornus","Fraxinus","ornus","","LB",23,30011,"ES","FALSCH","Fraxinus excelsior",21,"bu","aLh","bu","ES","BU"
"142",142,142,332,"ESt","Europäische Stechpalme","Ilex aquifolium","Ilex","aquifolium","","LB",24,30011,"SLB","FALSCH","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI"
"143",143,143,333,"EOe","Echtem Ölbaum","Olea europaea","Olea","europaea","","LB",28,30011,"SLB","FALSCH","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI"
"144",144,144,334,"HoB","Hopfenbuche","Ostrya carpinifolia","Ostrya","carpinifolia","","LB",29,30011,"SLB","FALSCH","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI"
"145",145,145,335,"OPl","Orientalische Platane","Platanus orientalis","Platanus","orientalis","","LB",30,30011,"SLB","FALSCH","Magnoliopsida trees",35,"bu","aLh","bu","BU","BU"
"146",146,146,336,"MaB","Mandelbaum","Prunus dulcis","Prunus","dulcis","","LB",37,30011,"KIR","FALSCH","Prunus avium",29,"bu","aLh","bu","BU","BU"
"147",147,147,337,"StE","Stech-/Kermes-Eiche","Quercus coccifera","Quercus","coccifera","","LB",42,30011,"EI","FALSCH","Quercus spp.",17,"ei","ei","ei","EI","EI"
"148",148,148,338,"PoE","Portugiesische-/Zen-Eiche","Quercus faginea","Quercus","faginea","","LB",43,30011,"EI","FALSCH","Quercus spp.",17,"ei","ei","ei","EI","EI"
"149",149,149,339,"UnE","Ungarische Eiche","Quercus frainetto","Quercus","frainetto","","LB",44,30011,"EI","FALSCH","Quercus spp.",17,"ei","ei","ei","EI","EI"
