"";"MoMoK_Nr";"Name";"Bundeland";"Datum";"Nr_VJ_PK";"Lage";"Distanz MB [cm]";"pk_maxdist [cm]";"LfdNr";"Baumart (Code)";"Baumart";"Hoehe [cm]";"grklasse"
"215";33010;"Pälitzsee/Pelzkuhl";"MV";2022-08-10;"N";"Nord";1000;498;3;104;"SER";120;0
"216";33010;"Pälitzsee/Pelzkuhl";"MV";2022-08-10;"N";"Nord";1000;498;4;104;"SER";115;0
"217";33010;"Pälitzsee/Pelzkuhl";"MV";2022-08-10;"N";"Nord";1000;498;5;104;"SER";160;1
"218";33010;"Pälitzsee/Pelzkuhl";"MV";2022-08-10;"N";"Nord";1000;498;6;NA;"KD";70;0
"219";33010;"Pälitzsee/Pelzkuhl";"MV";2022-08-10;"E";"Ost";1000;483;1;104;"SER";160;1
"220";33010;"Pälitzsee/Pelzkuhl";"MV";2022-08-10;"E";"Ost";1000;483;2;104;"SER";125;0
"221";33010;"Pälitzsee/Pelzkuhl";"MV";2022-08-10;"E";"Ost";1000;483;3;104;"SER";120;0
"222";33010;"Pälitzsee/Pelzkuhl";"MV";2022-08-10;"E";"Ost";1000;483;4;104;"SER";180;1
"223";33010;"Pälitzsee/Pelzkuhl";"MV";2022-08-10;"E";"Ost";1000;483;5;104;"SER";250;1
"224";33010;"Pälitzsee/Pelzkuhl";"MV";2022-08-10;"E";"Ost";1000;483;6;104;"SER";180;1
"225";33010;"Pälitzsee/Pelzkuhl";"MV";2022-08-10;"E";"Ost";1000;483;7;104;"SER";100;0
"226";33010;"Pälitzsee/Pelzkuhl";"MV";2022-08-10;"E";"Ost";1000;483;8;104;"SER";180;1
"227";33010;"Pälitzsee/Pelzkuhl";"MV";2022-08-10;"E";"Ost";1000;483;9;104;"SER";180;1
"228";33010;"Pälitzsee/Pelzkuhl";"MV";2022-08-10;"S";"Süd";1000;469;1;104;"SER";320;1
"229";33010;"Pälitzsee/Pelzkuhl";"MV";2022-08-10;"S";"Süd";1000;469;2;104;"SER";105;0
"230";33010;"Pälitzsee/Pelzkuhl";"MV";2022-08-10;"S";"Süd";1000;469;3;104;"SER";170;1
