"";"MoMoK_Nr";"Name";"Bundesland";"Datum";"Nr_PK";"Nr";"Baumartengruppe";"TYP";"Hoehe/Laenge [dm]";"Durchmesser [cm]";"Zersetzungsgrad"
"88";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";70;2;1;11;"13";3
"89";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";71;2;1;13;"9.5";3
"90";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";72;2;1;10;"11";3
"91";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";73;2;1;75;"12.5";5
"92";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";74;2;1;51;"11";5
"93";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";75;2;1;49;"17";4
"94";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";76;2;1;46;"9";3
"95";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";77;2;1;76;"8";1
"96";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";78;2;1;113;"8.5";2
"97";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";79;2;1;38;"11.5";4
"98";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";80;2;1;30;"15";3
"99";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";81;2;1;39;"16";4
"100";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";82;2;1;15;"13";4
"101";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";83;2;1;36;"8";2
"102";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";84;2;1;61;"8";2
"103";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";85;2;1;43;"12";4
"104";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";86;2;1;57;"9";3
"105";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";87;2;1;25;"16.5";3
"106";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";88;2;1;13;"11";4
"107";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";89;2;1;34;"8.5";2
"108";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";90;2;1;71;"7.5";2
"109";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";91;2;1;46;"8";5
"110";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";92;2;1;53;"14";4
"111";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";93;2;5;151;"16.5";2
"112";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";94;2;5;134;"22.5";1
"113";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";1;2;2;75;"11";2
"114";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";2;2;2;141;"22";1
"115";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";3;2;2;164;"20.5";1
"116";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";4;1;2;107;"12.5";2
"117";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";5;2;2;95;"12";2
"118";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";6;2;3;46;"17";2
"119";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";7;2;3;57;"12";2
"120";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";8;2;3;58;"11";2
"121";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";9;2;3;34;"10";3
"122";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";10;2;3;81;"18";1
"123";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";11;2;3;58;"10";2
"124";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";12;2;4;2,6;"20.5";4
"125";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";13;2;4;2,7;"20";3
"126";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";14;2;4;2,3;"21";4
"127";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";15;2;4;2,7;"29.5";4
"128";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";16;2;4;2,6;"24";1
"129";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";17;2;4;2,3;"24";4
"130";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";18;2;4;3;"46";2
"131";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";19;2;4;2,5;"25";2
"132";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";20;2;4;2;"23";2
"133";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";21;2;4;2,1;"10.5";1
"134";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";22;2;4;2,2;"15";3
"135";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";23;2;4;2;"26.5";4
"136";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";24;2;4;2,9;"27.5";5
"137";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";25;2;4;2,3;"20";4
"138";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";26;2;4;2;"14";3
"139";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";27;2;4;2,3;"20.5";3
"140";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";28;2;4;2,3;"24.5";3
"141";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";29;2;4;3,3;"42";4
"142";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";30;2;4;2,2;"37";5
"143";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";31;2;4;2;"22";2
