"","plot_ID","loc_name","state","date","CCS_nr","t_ID","SP_dec_type","SP_group","DW_type","L_dm","D_cm","dec_type","dom_SP","tpS_SP_com_name","tpS_ID","LH_NH","N_SP_group","H_SP_group","L_m","D_m","D_h_cm","D_h_m","dec_type_BWI","SP_group_char","SP_dw_tps","S_L_DW_type"
"96",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",78,"2_1",2,1,113,8.5,2,"GFI","Picea abies",1,"NB","FI","fi",11.3,0.085,NA,NA,1,"BU",15,"L"
"97",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",79,"2_3",2,1,38,11.5,4,"GFI","Picea abies",1,"NB","FI","fi",3.8,0.115,NA,NA,3,"BU",15,"L"
"98",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",80,"2_2",2,1,30,15,3,"GFI","Picea abies",1,"NB","FI","fi",3,0.15,NA,NA,2,"BU",15,"L"
"99",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",81,"2_3",2,1,39,16,4,"GFI","Picea abies",1,"NB","FI","fi",3.9,0.16,NA,NA,3,"BU",15,"L"
"100",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",82,"2_3",2,1,15,13,4,"GFI","Picea abies",1,"NB","FI","fi",1.5,0.13,NA,NA,3,"BU",15,"L"
"101",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",83,"2_1",2,1,36,8,2,"GFI","Picea abies",1,"NB","FI","fi",3.6,0.08,NA,NA,1,"BU",15,"L"
"102",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",84,"2_1",2,1,61,8,2,"GFI","Picea abies",1,"NB","FI","fi",6.1,0.08,NA,NA,1,"BU",15,"L"
"103",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",85,"2_3",2,1,43,12,4,"GFI","Picea abies",1,"NB","FI","fi",4.3,0.12,NA,NA,3,"BU",15,"L"
"104",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",86,"2_2",2,1,57,9,3,"GFI","Picea abies",1,"NB","FI","fi",5.7,0.09,NA,NA,2,"BU",15,"L"
"105",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",87,"2_2",2,1,25,16.5,3,"GFI","Picea abies",1,"NB","FI","fi",2.5,0.165,NA,NA,2,"BU",15,"L"
"106",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",88,"2_3",2,1,13,11,4,"GFI","Picea abies",1,"NB","FI","fi",1.3,0.11,NA,NA,3,"BU",15,"L"
"107",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",89,"2_1",2,1,34,8.5,2,"GFI","Picea abies",1,"NB","FI","fi",3.4,0.085,NA,NA,1,"BU",15,"L"
"108",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",90,"2_1",2,1,71,7.5,2,"GFI","Picea abies",1,"NB","FI","fi",7.1,0.075,NA,NA,1,"BU",15,"L"
"109",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",91,"2_4",2,1,46,8,5,"GFI","Picea abies",1,"NB","FI","fi",4.6,0.08,NA,NA,4,"BU",15,"L"
"110",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",92,"2_3",2,1,53,14,4,"GFI","Picea abies",1,"NB","FI","fi",5.3,0.14,NA,NA,3,"BU",15,"L"
"111",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",93,"2_1",2,5,151,16.5,2,"GFI","Picea abies",1,"NB","FI","fi",15.1,0.165,130,1.3,1,"BU",15,"L"
"112",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",94,"2_1",2,5,134,22.5,1,"GFI","Picea abies",1,"NB","FI","fi",13.4,0.225,130,1.3,1,"BU",15,"L"
"113",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",1,"2_1",2,2,75,11,2,"GFI","Picea abies",1,"NB","FI","fi",7.5,0.11,130,1.3,1,"BU",15,"S"
"114",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",2,"2_1",2,2,141,22,1,"GFI","Picea abies",1,"NB","FI","fi",14.1,0.22,130,1.3,1,"BU",15,"S"
"115",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",3,"2_1",2,2,164,20.5,1,"GFI","Picea abies",1,"NB","FI","fi",16.4,0.205,130,1.3,1,"BU",15,"S"
"116",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",4,"1_1",1,2,107,12.5,2,"GFI","Picea abies",1,"NB","FI","fi",10.7,0.125,130,1.3,1,"FI",1,"S"
"117",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",5,"2_1",2,2,95,12,2,"GFI","Picea abies",1,"NB","FI","fi",9.5,0.12,130,1.3,1,"BU",15,"S"
"118",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",6,"2_1",2,3,46,17,2,"GFI","Picea abies",1,"NB","FI","fi",4.6,0.17,130,1.3,1,"BU",15,"S"
