"","plot_ID","loc_name","state","date","CCS_nr","t_ID","SP_group","DW_type","L_dm","D_cm","dec_type","dom_SP","tpS_SP_com_name","tpS_ID","LH_NH","L_m","D_m","D_h_m","dec_type_BWI"
"113",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",1,2,2,75,11,2,"GFI","Picea abies",1,"NB",7.5,0.11,1.3,1
"114",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",2,2,2,141,22,1,"GFI","Picea abies",1,"NB",14.1,0.22,1.3,1
"115",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",3,2,2,164,20.5,1,"GFI","Picea abies",1,"NB",16.4,0.2,1.3,1
"116",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",4,1,2,107,12.5,2,"GFI","Picea abies",1,"NB",10.7,0.12,1.3,1
"117",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",5,2,2,95,12,2,"GFI","Picea abies",1,"NB",9.5,0.12,1.3,1
"118",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",6,2,3,46,17,2,"GFI","Picea abies",1,"NB",4.6,0.17,1.3,1
"119",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",7,2,3,57,12,2,"GFI","Picea abies",1,"NB",5.7,0.12,1.3,1
"120",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",8,2,3,58,11,2,"GFI","Picea abies",1,"NB",5.8,0.11,1.3,1
"121",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",9,2,3,34,10,3,"GFI","Picea abies",1,"NB",3.4,0.1,1.3,2
"122",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",10,2,3,81,18,1,"GFI","Picea abies",1,"NB",8.1,0.18,1.3,1
"123",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",11,2,3,58,10,2,"GFI","Picea abies",1,"NB",5.8,0.1,1.3,1
"124",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",12,2,4,2.6,20.5,4,"GFI","Picea abies",1,"NB",0.26,0.2,1.3,3
"125",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",13,2,4,2.7,20,3,"GFI","Picea abies",1,"NB",0.27,0.2,1.3,2
"126",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",14,2,4,2.3,21,4,"GFI","Picea abies",1,"NB",0.23,0.21,1.3,3
"127",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",15,2,4,2.7,29.5,4,"GFI","Picea abies",1,"NB",0.27,0.29,1.3,3
"128",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",16,2,4,2.6,24,1,"GFI","Picea abies",1,"NB",0.26,0.24,1.3,1
"129",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",17,2,4,2.3,24,4,"GFI","Picea abies",1,"NB",0.23,0.24,1.3,3
"130",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",18,2,4,3,46,2,"GFI","Picea abies",1,"NB",0.3,0.46,1.3,1
"131",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",19,2,4,2.5,25,2,"GFI","Picea abies",1,"NB",0.25,0.25,1.3,1
"132",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",20,2,4,2,23,2,"GFI","Picea abies",1,"NB",0.2,0.23,1.3,1
"133",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",21,2,4,2.1,10.5,1,"GFI","Picea abies",1,"NB",0.21,0.1,1.3,1
"134",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",22,2,4,2.2,15,3,"GFI","Picea abies",1,"NB",0.22,0.15,1.3,2
"135",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",23,2,4,2,26.5,4,"GFI","Picea abies",1,"NB",0.2,0.26,1.3,3
"136",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",24,2,4,2.9,27.5,5,"GFI","Picea abies",1,"NB",0.29,0.27,1.3,4
"137",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",25,2,4,2.3,20,4,"GFI","Picea abies",1,"NB",0.23,0.2,1.3,3
"138",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",26,2,4,2,14,3,"GFI","Picea abies",1,"NB",0.2,0.14,1.3,2
"139",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",27,2,4,2.3,20.5,3,"GFI","Picea abies",1,"NB",0.23,0.2,1.3,2
"140",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",28,2,4,2.3,24.5,3,"GFI","Picea abies",1,"NB",0.23,0.24,1.3,2
"141",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",29,2,4,3.3,42,4,"GFI","Picea abies",1,"NB",0.33,0.42,1.3,3
"142",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",30,2,4,2.2,37,5,"GFI","Picea abies",1,"NB",0.22,0.37,1.3,4
"143",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",31,2,4,2,22,2,"GFI","Picea abies",1,"NB",0.2,0.22,1.3,1
"144",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",32,2,4,2,24,3,"GFI","Picea abies",1,"NB",0.2,0.24,1.3,2
"145",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","2",33,2,4,2,20,3,"GFI","Picea abies",1,"NB",0.2,0.2,1.3,2
