zwiesel,d_mess,stufe,bhd_hoehe,hoehe,azi,bart,lfd_nr,bund_nr,baumkennzahl,bhd,alter,schi,kransatz,kraft,hori,alter_methode
,275,,125,,9,gfi,1,50008,-9,,46,1,,1,198,6
,220,,130,,15,gfi,2,50008,-9,,46,1,,2,832,6
,246,,130,,33,gfi,3,50008,-9,,46,1,,2,443,6
,305,,130,188,51,gfi,4,50008,-9,,46,1,30,1,1694,6
,291,,130,,56,gfi,5,50008,-9,,46,1,,2,1209,6
,208,,130,,72,gfi,6,50008,-9,,46,1,,2,722,6
,151,,130,,76,gfi,7,50008,-9,,46,1,,3,445,6
,110,,130,115,93,gfi,8,50008,-9,,46,1,59,4,521,6
,114,,130,,93,gfi,9,50008,-9,,46,1,,4,854,6
,283,,130,,98,gfi,10,50008,-9,,46,1,,1,1221,6
,205,,130,175,108,gfi,11,50008,-9,,46,1,89,3,1066,6
,183,,130,,114,gfi,12,50008,-9,,46,1,,3,711,6
,199,,130,,127,gfi,13,50008,-9,,46,1,,2,1110,6
,202,,130,,130,gfi,14,50008,-9,,46,1,,3,1251,6
,192,,130,171,134,gfi,15,50008,-9,,46,1,67,2,617,6
,171,,130,,141,gfi,16,50008,-9,,46,1,,2,900,6
,220,,130,,157,gfi,17,50008,-9,,46,1,,2,1045,6
,216,,130,,161,gfi,18,50008,-9,,46,1,,2,754,6
,253,,130,170,165,gfi,19,50008,-9,,46,1,23,2,462,6
,226,,130,,190,gfi,20,50008,-9,,46,1,,2,1098,6
,203,,130,,210,gfi,21,50008,-9,,46,1,,2,771,6
,220,,130,,218,gfi,22,50008,-9,,46,1,,2,985,6
,224,,130,,235,gfi,23,50008,-9,,46,1,,2,878,6
,274,,130,,244,gfi,24,50008,-9,,46,1,,1,1125,6
,209,,130,,270,gfi,25,50008,-9,,46,1,,2,1167,6
,257,,130,,281,gfi,26,50008,-9,,46,1,,2,929,6
,217,,130,,301,gfi,27,50008,-9,,46,1,,2,1166,6
,194,,140,,301,gfi,28,50008,-9,,46,1,,3,845,6
,253,,130,,335,gfi,29,50008,-9,,46,1,,2,340,6
,278,,130,,344,gfi,30,50008,-9,,46,1,,1,618,6
,274,,130,,377,gfi,31,50008,-9,,46,1,,2,1171,6
,218,,130,,384,gfi,32,50008,-9,,46,1,,2,905,6
,272,,130,,4,gfi,33,50008,-9,,46,1,,2,600,6
,463,,130,,21,gfi,1,50009,-9,,92,1,,2,219,6
