bund_nr,lfd_nr,zwiesel,bart,baumkennzahl,d_mess,bhd_hoehe,hoehe,kransatz,kraft,schi,hori,azi,alter,alter_methode
50009,23,,gfi,-9,499,130,-9,-9,2,1,1216,337,81,6
50009,24,,gfi,-9,441,130,-9,-9,2,1,675,358,81,6
50009,25,,gfi,-9,397,155,-9,-9,2,1,1003,395,81,6
50009,26,,gfi,-9,403,130,-9,-9,2,1,803,15,81,6
50010,1,,sbi,-9,80,130,91,11,3,1,262,218,20,5
50010,2,,sbi,-9,73,130,69,10,3,1,285,274,15,5
50010,3,,sbi,-9,98,130,89,10,2,1,496,314,20,5
50010,4,,sbi,-9,149,130,103,20,1,1,516,160,20,5
50010,5,,sbi,-9,146,130,122,19,1,1,313,209,20,5
50010,6,,sbi,-9,112,130,-9,-9,2,1,1104,195,20,5
50010,7,,sbi,-9,143,130,-9,-9,2,1,1002,338,20,5
50010,8,,sbi,-9,118,130,-9,-9,2,1,992,370,17,5
50010,9,,sbi,-9,120,130,-9,-9,2,1,1169,309,20,5
50010,10,,sbi,-9,112,130,-9,-9,2,1,1195,316,17,5
50011,1,,tei,-9,436,130,-9,-9,2,1,414,316,102,6
50011,2,,tei,-9,351,130,-9,-9,2,1,832,346,102,6
50011,3,,tei,-9,483,130,160,38,1,1,1504,370,102,6
50011,4,,tei,-9,305,130,161,49,2,1,1284,379,102,6
50011,5,,tei,-9,336,130,-9,-9,2,1,1577,1,102,6
50011,6,,tei,-9,295,130,-9,-9,3,1,589,12,102,6
50011,7,,tei,-9,353,130,-9,-9,2,1,1351,45,102,6
50011,8,,rbu,-9,428,130,208,45,1,1,1275,51,102,6
50011,9,,rbu,-9,435,130,207,62,1,1,1204,54,102,6
50011,10,,rbu,-9,236,130,-9,-9,4,1,514,56,102,6
50011,11,,rbu,-9,410,130,196,35,1,1,470,65,102,6
50011,12,,rbu,-9,256,90,188,54,3,1,456,73,102,6
50011,13,,rbu,-9,415,130,200,97,1,1,456,77,102,6
50011,14,,tei,-9,267,130,-9,-9,3,1,668,83,102,6
50011,15,,tei,-9,444,130,143,63,2,1,1475,106,102,6
50011,16,,tei,-9,150,130,95,37,4,1,1097,126,102,6
50011,17,,tei,-9,345,130,-9,-9,2,1,1374,127,102,6
50011,18,,tei,-9,374,130,181,36,2,1,1668,128,102,6
50011,19,,tei,-9,408,130,-9,-9,2,1,1045,154,102,6
50011,20,,tei,-9,335,130,-9,-9,2,1,1335,171,102,6
50011,21,,tei,-9,275,130,-9,-9,3,1,1169,188,102,6
50011,22,,sbi,-9,110,130,140,93,4,1,542,193,35,5
50011,23,,tei,-9,291,130,-9,-9,2,1,1226,202,102,6
50011,24,,tei,-9,313,130,-9,-9,2,1,1169,234,102,6
50011,25,,tei,-9,313,130,-9,-9,2,1,1378,251,102,6
50011,26,,tei,-9,283,130,142,75,2,1,595,267,102,6
50011,27,,tei,-9,253,130,-9,-9,2,1,643,274,102,6
50011,28,,tei,-9,344,130,-9,-9,2,1,872,295,102,6
50011,29,,tei,-9,344,130,-9,-9,2,1,1528,295,102,6
50012,1,,vbe,-9,120,130,93,33,0,2,219,160,30,5
50012,2,,sei,-9,344,130,-9,-9,2,1,1499,202,63,6
50012,3,,mbi,-9,346,130,-9,-9,2,1,1271,203,63,6
50012,4,,sei,-9,415,130,-9,-9,1,1,294,204,63,6
50012,5,,mbi,-9,266,130,178,106,3,1,707,204,63,6
50012,6,,mbi,-9,317,130,-9,-9,2,1,1503,237,63,6
50012,7,,mbi,-9,151,130,158,113,4,1,830,280,40,5
50012,8,,rbu,-9,247,120,139,20,2,1,588,301,45,5
50012,9,,sei,-9,310,130,-9,-9,2,1,1101,310,63,6
50012,10,,sei,-9,253,130,-9,-9,2,1,841,323,63,6
50012,11,,sei,-9,370,130,-9,-9,2,1,626,325,63,6
50012,12,,vbe,-9,104,130,80,35,0,2,315,321,30,5
50012,13,,sei,-9,425,130,249,71,2,1,1423,348,63,6
50012,14,,sei,-9,315,130,-9,-9,3,1,881,354,63,6
50012,15,,mbi,-9,288,130,222,135,2,1,500,359,63,6
50012,16,,sei,-9,376,130,-9,-9,2,1,1719,375,63,6
50012,17,,sei,-9,439,150,-9,-9,1,1,1164,384,63,6
