"Nr_code","Chr_code_ger","name","icode","bot_name","bot_genus","bot_species","BWI","LH_NH","tpS_SP_com_name","tpS_ID","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group","N_f_SP_group_MoMoK","RG_Wolff_bio","BWI_comparisson_group","bark_type_SP_group","fruit_type_SP_group"
"her","HEr","HerzblÃ¤ttrige Erle",312,"Alnus cordata","Alnus","cordata","erl","LB","Alnus spp.",28,"bu","aLn","shw","ERL","BI","ERL","BI","aLn","Alnus spp.","Alnus spp."
"Ã¶eb","Ã–Eb","Ã–stliche Erdbeerbaum",313,"Arbutus andrachne","Arbutus","andrachne","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"web","WEb","Westlicher Erdbeerbaum",314,"Arbutus unedo","Arbutus","unedo","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"obu","OBu","Orient-Buche",315,"Fagus orientalis","Fagus","orientalis","bu","LB","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU","bu","Fagus sylvatica","Fagus sylvatica"
"bsl","BSl","BreitblÃ¤ttrige Steinlinde",316,"Phillyrea latifolia","Phillyrea","latifolia","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"wpi","WPi","Wilde Pistazie",317,"Pistacia lentiscus","Pistacia","lentiscus","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"eri","Eri","ErikagewÃ¤chs Strauch",318,"Erica manipuliflora","Erica","manipuliflora","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"ewa","EWa","Griechischer Wacholder",319,"Juniperus excelsa","Juniperus","excelsa","snb","NB","Coniferales trees",14,"fi","fi","fi","FI","FI","aNB","FI","fi","conifer species","conifer species"
"owa","OWa","Stech-Wacholder",320,"Juniperus oxycedrus","Juniperus","oxycedrus","snb","NB","Coniferales trees",14,"fi","fi","fi","FI","FI","aNB","FI","fi","conifer species","conifer species"
"pwa","PWa","PhÃ¶nizische Wacholder",321,"Juniperus phoenicea","Juniperus","phoenicea","snb","NB","Coniferales trees",14,"fi","fi","fi","FI","FI","aNB","FI","fi","conifer species","conifer species"
