bfhnr;bart;N-Gehalt [g/kg];Moor oder nicht;;;;;;;;
30643;Gewoehnliche Kiefer;19,79;nicht Moor;;;;;;;;
30643;Gewoehnliche Kiefer;20,45;nicht Moor;;;;;;;;
30644;Gewoehnliche Kiefer;18,63;nicht Moor;;;;;;;;
30644;Gewoehnliche Kiefer;18,98;nicht Moor;;;;;;;;
30645;Gewoehnliche Kiefer;17,16;nicht Moor;;;;;;;;
30645;Gewoehnliche Kiefer;17,17;nicht Moor;;;;;;;;
30649;Gewoehnliche Fichte;16,69;nicht Moor;;;;;;;;
30649;Gewoehnliche Fichte;15,4;nicht Moor;;;;;;;;
30649;Gewoehnliche Fichte;14,17;nicht Moor;;;;;;;;
30652;Gewoehnliche Fichte;14,78;nicht Moor;;;;;;;;
30652;Gewoehnliche Fichte;13,58;nicht Moor;;;;;;;;
30652;Gewoehnliche Fichte;11,99;nicht Moor;;;;;;;;
40001;Gewoehnliche Kiefer;18,26;nicht Moor;;;;;;;;
40001;Gewoehnliche Kiefer;17,37;nicht Moor;;;;;;;;
40003;Gewoehnliche Kiefer;20,06;nicht Moor;;;;;;;;
40003;Gewoehnliche Kiefer;18,22;nicht Moor;;;;;;;;
50001;Gewoehnliche Kiefer;20,4;nicht Moor;;;;;;;;
50001;Gewoehnliche Kiefer;20,33333333;nicht Moor;;;;;;;;
50002;Gewoehnliche Kiefer;26;nicht Moor;;;;;;;;
50002;Gewoehnliche Kiefer;25,43333333;nicht Moor;;;;;;;;
50004;Gewoehnliche Fichte;17,93333333;nicht Moor;;;;;;;;
